AutoCumProp,LtTruckCumProp,VehAge
0.00724546108586627,0,0
0.0633739867828944,0.048277482736719,1
0.119650972204074,0.107670020148356,2
0.17611122166644,0.167527807358529,3
0.232667582964325,0.227700646451007,4
0.289199954803858,0.287846652232274,5
0.345617046159784,0.347541228736457,6
0.401737816752557,0.406363143639488,7
0.457237242995719,0.463882006009692,8
0.511652012961637,0.519622882139033,9
0.564438982852735,0.573035876335912,10
0.615095740239273,0.62356258341566,11
0.663196422706258,0.670766808493439,12
0.708413717884405,0.71433657362547,13
0.750527299266295,0.754117353917857,14
0.789346447215604,0.790045820369363,15
0.824733327139707,0.82214023489062,16
0.856591128291726,0.850562311494895,17
0.884862169633443,0.875613461230561,18
0.909512678464861,0.897628382073419,19
0.930571533414323,0.916911315076227,20
0.948161069415711,0.933705656901347,21
0.962492561634571,0.948213197450025,22
0.973843661565155,0.960581641231327,23
0.982540832889983,0.970894255427227,24
0.98894634671769,0.979229359810599,25
0.993442489536914,0.985708983591426,26
0.996413562605098,0.99053128989766,27
0.998226715786565,0.993954610499349,28
0.999219121039642,0.996282138540566,29
0.999694273408949,0.997858849151264,30
0.999897830319654,0.99901290898164,31
1,1,32
