Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
RVMPO,2010,382639,0,607922,0,0,0,0,0
RVMPO,2038,9527978.656,0,14320948.812,0,0,0,0,0
