county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
Multnomah,2005,511120,284,31,17,5,6,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,511130,195,20,13,3,1,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,511140,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,511191,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,511199,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,511210,1387,66,36,6,5,11,5,3,0,0,0,0,0,0,0
Multnomah,2005,512110,709,58,47,6,2,1,0,1,1,0,0,0,0,0,0
Multnomah,2005,512131,387,15,1,0,7,5,2,0,0,0,0,0,0,0,0
Multnomah,2005,512191,74,13,7,4,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,512199,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,512210,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,512220,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,512240,18,9,8,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,512290,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,515111,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,515112,932,24,5,6,3,3,5,2,0,0,0,0,0,0,0
Multnomah,2005,515120,0,7,3,0,1,0,0,3,0,0,0,0,0,0,0
Multnomah,2005,515210,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,516110,149,11,4,1,1,5,0,0,0,0,0,0,0,0,0
Multnomah,2005,517110,0,74,37,9,12,8,6,1,1,0,0,0,0,0,0
Multnomah,2005,517211,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,517212,593,26,4,7,9,5,0,0,1,0,0,0,0,0,0
Multnomah,2005,517310,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,517410,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,517510,0,6,3,0,1,0,1,1,0,0,0,0,0,0,0
Multnomah,2005,517910,24,5,2,2,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,518111,0,11,7,2,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,518112,0,5,2,0,1,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,518210,2813,71,30,12,11,9,5,0,3,1,0,0,0,0,0
Multnomah,2005,519110,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,519120,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,519190,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,521110,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,522110,6502,180,36,42,66,22,6,4,1,2,1,0,1,0,0
Multnomah,2005,522120,0,29,7,7,14,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,522130,952,54,22,10,12,6,2,2,0,0,0,0,0,0,0
Multnomah,2005,522220,61,16,12,3,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,522291,210,42,25,13,4,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,522292,665,55,20,15,11,6,3,0,0,0,0,0,0,0,0
Multnomah,2005,522293,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,522298,93,16,11,1,3,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,522310,660,117,85,18,10,3,0,1,0,0,0,0,0,0,0
Multnomah,2005,522320,0,21,18,1,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,522390,172,38,30,3,4,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,523110,0,27,12,7,6,0,2,0,0,0,0,0,0,0,0
Multnomah,2005,523120,1254,98,68,9,8,2,9,2,0,0,0,0,0,0,0
Multnomah,2005,523130,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,523140,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,523910,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,523920,739,60,33,13,5,4,4,1,0,0,0,0,0,0,0
Multnomah,2005,523930,0,69,61,5,2,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,523991,357,18,13,3,1,0,0,0,1,0,0,0,0,0,0
Multnomah,2005,523999,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,524113,2391,34,15,6,4,5,2,1,0,0,1,0,1,0,0
Multnomah,2005,524114,2832,16,7,2,0,1,2,1,0,2,1,1,0,0,0
Multnomah,2005,524126,0,27,13,6,5,2,0,0,0,1,0,0,0,0,0
Multnomah,2005,524127,0,38,8,13,11,3,2,1,0,0,0,0,0,0,0
Multnomah,2005,524130,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,524210,2641,378,276,53,22,19,6,1,1,0,0,0,0,0,0
Multnomah,2005,524291,226,20,11,4,1,2,2,0,0,0,0,0,0,0,0
Multnomah,2005,524292,1034,29,12,4,2,9,0,1,1,0,0,0,0,0,0
Multnomah,2005,524298,41,6,3,1,2,0,0,0,0,0,0,0,0,0,0
