County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,State
Crenshaw,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Cullman,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Dale,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Dallas,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
DeKalb,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Elmore,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Escambia,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Etowah,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,1.3518877,AL
Fayette,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,1.3320895,AL
Franklin,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Geneva,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Greene,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Hale,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Henry,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Houston,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Jackson,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Jefferson,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,1.35353333,AL
Lamar,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,1.33102195,AL
Lauderdale,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Lawrence,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
