Level,Fwy_Rcr,Fwy_NonRcr,Art_Rcr,Art_NonRcr
None,0,0,0,0
Mod,0,0,10.3,0
Hvy,0,0,10.1,0
Sev,0,0,7.7,0
Ext,0,0,5.2,0
