Level,Fwy_Rcr,Fwy_NonRcr,Art_Rcr,Art_NonRcr
None,0,0,0,0
Mod,0,0,0,8
Hvy,0,0,-2.2,8
Sev,0,0,-4.5,9.8
Ext,0,0,-6.7,9.8
