Level,Fwy_Rcr,Fwy_NonRcr,Art_Rcr,Art_NonRcr
None,0,0,0,0
Mod,0,0,0,0
Hvy,2.8,2.8,0,0
Sev,5.6,5.6,0,0
Ext,6.3,6.3,0,0
