AgencyID,AgencyName,Mode,TimePeriod,RevenueMiles,DeadheadMiles,PassengerMiles
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Weekday,21542,4430,33027
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Saturday,10641,2355,14678
1,King County Department of Transportation - Metro Transit Division,DR,Average Typical Sunday,10189,2400,13441
1,King County Department of Transportation - Metro Transit Division,DR,Annual Total,6705640,1403496,10082121
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Weekday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Saturday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Average Typical Sunday,,,
1,King County Department of Transportation - Metro Transit Division,DT,Annual Total,1257248,,1452968
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Weekday,97752,27234,1656944
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Saturday,63142,8273,780106
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Sunday,51279,5724,567296
1,King County Department of Transportation - Metro Transit Division,MB,Annual Total,31651853,7792955,496404999
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Weekday,3846,926,13469
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Saturday,1288,273,5465
1,King County Department of Transportation - Metro Transit Division,MB,Average Typical Sunday,356,139,1470
1,King County Department of Transportation - Metro Transit Division,MB,Annual Total,1068355,258330,3804029
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Weekday,174,1,1682
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Saturday,190,1,1082
1,King County Department of Transportation - Metro Transit Division,SR,Average Typical Sunday,103,1,672
1,King County Department of Transportation - Metro Transit Division,SR,Annual Total,59960,376,522888
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Weekday,10499,516,129567
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Saturday,391,11,362
1,King County Department of Transportation - Metro Transit Division,TB,Average Typical Sunday,827,22,10468
1,King County Department of Transportation - Metro Transit Division,TB,Annual Total,2827567,124546,33642737
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - AM Peak,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - Midday,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - PM Peak,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Weekday - Other,,,
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Weekday,56815,0,281211
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Saturday,1978,0,9790
1,King County Department of Transportation - Metro Transit Division,VP,Average Typical Sunday,1773,0,8777
1,King County Department of Transportation - Metro Transit Division,VP,Annual Total,14693548,0,72726967
2,Spokane Transit Authority,DR,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Midday,,,
2,Spokane Transit Authority,DR,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Other,,,
2,Spokane Transit Authority,DR,Average Typical Weekday,4664,429,7395
2,Spokane Transit Authority,DR,Average Typical Saturday,,,
2,Spokane Transit Authority,DR,Average Typical Sunday,,0,0
2,Spokane Transit Authority,DR,Annual Total,1189206,106830,1885648
2,Spokane Transit Authority,DR,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Midday,,,
2,Spokane Transit Authority,DR,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,DR,Average Weekday - Other,,,
2,Spokane Transit Authority,DR,Average Typical Weekday,3764,701,6674
2,Spokane Transit Authority,DR,Average Typical Saturday,3149,429,4102
2,Spokane Transit Authority,DR,Average Typical Sunday,3097,462,4285
2,Spokane Transit Authority,DR,Annual Total,1303096,208036,2163775
2,Spokane Transit Authority,MB,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,MB,Average Weekday - Midday,,,
2,Spokane Transit Authority,MB,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,MB,Average Weekday - Other,,,
2,Spokane Transit Authority,MB,Average Typical Weekday,18598,1560,160508
2,Spokane Transit Authority,MB,Average Typical Saturday,8118,710,62275
2,Spokane Transit Authority,MB,Average Typical Sunday,5321,678,33944
2,Spokane Transit Authority,MB,Annual Total,5480629,463902,46108464
2,Spokane Transit Authority,VP,Average Weekday - AM Peak,,,
2,Spokane Transit Authority,VP,Average Weekday - Midday,,,
2,Spokane Transit Authority,VP,Average Weekday - PM Peak,,,
2,Spokane Transit Authority,VP,Average Weekday - Other,,,
2,Spokane Transit Authority,VP,Average Typical Weekday,4226,0,20460
2,Spokane Transit Authority,VP,Average Typical Saturday,385,0,1033
2,Spokane Transit Authority,VP,Average Typical Sunday,286,0,781
2,Spokane Transit Authority,VP,Annual Total,1114100,0,5316121
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - AM Peak,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - Midday,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - PM Peak,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - Other,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Weekday,2390,298,3118
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Saturday,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Sunday,,,
3,Pierce County Transportation Benefit Area Authority,DR,Annual Total,612036,76312,798190
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - AM Peak,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - Midday,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - PM Peak,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Weekday - Other,,,
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Weekday,5554,815,6370
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Saturday,2964,469,2986
3,Pierce County Transportation Benefit Area Authority,DR,Average Typical Sunday,2599,481,2811
3,Pierce County Transportation Benefit Area Authority,DR,Annual Total,1724342,260405,1946277
3,Pierce County Transportation Benefit Area Authority,MB,Average Weekday - AM Peak,,,
3,Pierce County Transportation Benefit Area Authority,MB,Average Weekday - Midday,,,
3,Pierce County Transportation Benefit Area Authority,MB,Average Weekday - PM Peak,,,
3,Pierce County Transportation Benefit Area Authority,MB,Average Weekday - Other,,,
3,Pierce County Transportation Benefit Area Authority,MB,Average Typical Weekday,14084,2786,125950
3,Pierce County Transportation Benefit Area Authority,MB,Average Typical Saturday,8866,1252,63664
3,Pierce County Transportation Benefit Area Authority,MB,Average Typical Sunday,5886,1035,40742
3,Pierce County Transportation Benefit Area Authority,MB,Annual Total,4411207,835908,38153460
3,Pierce County Transportation Benefit Area Authority,VP,Average Weekday - AM Peak,,,
3,Pierce County Transportation Benefit Area Authority,VP,Average Weekday - Midday,,,
3,Pierce County Transportation Benefit Area Authority,VP,Average Weekday - PM Peak,,,
3,Pierce County Transportation Benefit Area Authority,VP,Average Weekday - Other,,,
3,Pierce County Transportation Benefit Area Authority,VP,Average Typical Weekday,17212,0,88571
3,Pierce County Transportation Benefit Area Authority,VP,Average Typical Saturday,891,0,2690
3,Pierce County Transportation Benefit Area Authority,VP,Average Typical Sunday,800,0,2470
3,Pierce County Transportation Benefit Area Authority,VP,Annual Total,4580152,0,23385233
4,Confederated Tribes of the Colville Indian Reservation,FB,Annual Total,17422,,
4,Confederated Tribes of the Colville Indian Reservation,MB,Annual Total,100736,,
5,Everett Transit,DR,Average Weekday - AM Peak,,,
5,Everett Transit,DR,Average Weekday - Midday,,,
5,Everett Transit,DR,Average Weekday - PM Peak,,,
5,Everett Transit,DR,Average Weekday - Other,,,
5,Everett Transit,DR,Average Typical Weekday,1844,192,2190
5,Everett Transit,DR,Average Typical Saturday,881,95,900
5,Everett Transit,DR,Average Typical Sunday,733,98,850
5,Everett Transit,DR,Annual Total,557712,59384,653567
5,Everett Transit,MB,Average Weekday - AM Peak,,,
5,Everett Transit,MB,Average Weekday - Midday,,,
5,Everett Transit,MB,Average Weekday - PM Peak,,,
5,Everett Transit,MB,Average Weekday - Other,,,
5,Everett Transit,MB,Average Typical Weekday,3934,561,26009
5,Everett Transit,MB,Average Typical Saturday,1942,271,11955
5,Everett Transit,MB,Average Typical Sunday,1626,150,8125
5,Everett Transit,MB,Annual Total,1197830,164310,7760035
6,Yakima Transit,CB,Average Weekday - AM Peak,,,
6,Yakima Transit,CB,Average Weekday - Midday,,,
6,Yakima Transit,CB,Average Weekday - PM Peak,,,
6,Yakima Transit,CB,Average Weekday - Other,,,
6,Yakima Transit,CB,Average Typical Weekday,573,18,4317
6,Yakima Transit,CB,Average Typical Saturday,,0,0
6,Yakima Transit,CB,Average Typical Sunday,,0,0
6,Yakima Transit,CB,Annual Total,144363,4481,1087954
6,Yakima Transit,DR,Average Weekday - AM Peak,,,
6,Yakima Transit,DR,Average Weekday - Midday,,,
6,Yakima Transit,DR,Average Weekday - PM Peak,,,
6,Yakima Transit,DR,Average Weekday - Other,,,
6,Yakima Transit,DR,Average Typical Weekday,1299,192,952
6,Yakima Transit,DR,Average Typical Saturday,435,49,311
6,Yakima Transit,DR,Average Typical Sunday,374,57,363
6,Yakima Transit,DR,Annual Total,368608,54107,275020
6,Yakima Transit,MB,Average Weekday - AM Peak,,,
6,Yakima Transit,MB,Average Weekday - Midday,,,
6,Yakima Transit,MB,Average Weekday - PM Peak,,,
6,Yakima Transit,MB,Average Weekday - Other,,,
6,Yakima Transit,MB,Average Typical Weekday,2360,121,14455
6,Yakima Transit,MB,Average Typical Saturday,1267,44,7004
6,Yakima Transit,MB,Average Typical Sunday,648,28,3707
6,Yakima Transit,MB,Annual Total,693942,33400,4199605
6,Yakima Transit,VP,Average Weekday - AM Peak,,,
6,Yakima Transit,VP,Average Weekday - Midday,,,
6,Yakima Transit,VP,Average Weekday - PM Peak,,,
6,Yakima Transit,VP,Average Weekday - Other,,,
6,Yakima Transit,VP,Average Typical Weekday,1321,0,11555
6,Yakima Transit,VP,Average Typical Saturday,,0,0
6,Yakima Transit,VP,Average Typical Sunday,,0,0
6,Yakima Transit,VP,Annual Total,355338,0,3108304
7,Lane Transit District,DR,Average Weekday - AM Peak,,,
7,Lane Transit District,DR,Average Weekday - Midday,,,
7,Lane Transit District,DR,Average Weekday - PM Peak,,,
7,Lane Transit District,DR,Average Weekday - Other,,,
7,Lane Transit District,DR,Average Typical Weekday,5355,569,7413
7,Lane Transit District,DR,Average Typical Saturday,1199,128,1085
7,Lane Transit District,DR,Average Typical Sunday,1177,155,1064
7,Lane Transit District,DR,Annual Total,1501827,162840,2033249
7,Lane Transit District,DT,Average Weekday - AM Peak,,,
7,Lane Transit District,DT,Average Weekday - Midday,,,
7,Lane Transit District,DT,Average Weekday - PM Peak,,,
7,Lane Transit District,DT,Average Weekday - Other,,,
7,Lane Transit District,DT,Average Typical Weekday,,,
7,Lane Transit District,DT,Average Typical Saturday,,,
7,Lane Transit District,DT,Average Typical Sunday,,,
7,Lane Transit District,DT,Annual Total,2906914,,2906914
7,Lane Transit District,MB,Average Weekday - AM Peak,,,
7,Lane Transit District,MB,Average Weekday - Midday,,,
7,Lane Transit District,MB,Average Weekday - PM Peak,,,
7,Lane Transit District,MB,Average Weekday - Other,,,
7,Lane Transit District,MB,Average Typical Weekday,9164,904,106350
7,Lane Transit District,MB,Average Typical Saturday,4925,388,52509
7,Lane Transit District,MB,Average Typical Sunday,2746,279,27967
7,Lane Transit District,MB,Annual Total,2742652,265651,31362292
7,Lane Transit District,MB,Average Weekday - AM Peak,,,
7,Lane Transit District,MB,Average Weekday - Midday,,,
7,Lane Transit District,MB,Average Weekday - PM Peak,,,
7,Lane Transit District,MB,Average Weekday - Other,,,
7,Lane Transit District,MB,Average Typical Weekday,294,6,2581
7,Lane Transit District,MB,Average Typical Saturday,,,
7,Lane Transit District,MB,Average Typical Sunday,,,
7,Lane Transit District,MB,Annual Total,75122,1252,658098
7,Lane Transit District,RB,Average Weekday - AM Peak,,,
7,Lane Transit District,RB,Average Weekday - Midday,,,
7,Lane Transit District,RB,Average Weekday - PM Peak,,,
7,Lane Transit District,RB,Average Weekday - Other,,,
7,Lane Transit District,RB,Average Typical Weekday,1396,28,26126
7,Lane Transit District,RB,Average Typical Saturday,971,13,15388
7,Lane Transit District,RB,Average Typical Sunday,410,15,7676
7,Lane Transit District,RB,Annual Total,429059,8893,7881520
7,Lane Transit District,VP,Average Weekday - AM Peak,,,
7,Lane Transit District,VP,Average Weekday - Midday,,,
7,Lane Transit District,VP,Average Weekday - PM Peak,,,
7,Lane Transit District,VP,Average Weekday - Other,,,
7,Lane Transit District,VP,Average Typical Weekday,1877,0,10790
7,Lane Transit District,VP,Average Typical Saturday,,,
7,Lane Transit District,VP,Average Typical Sunday,,,
7,Lane Transit District,VP,Annual Total,470742,0,2740833
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Weekday - AM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Weekday - Midday,,,
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Weekday - PM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Weekday - Other,,,
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Typical Weekday,21643,4238,30869
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Typical Saturday,7285,1226,7454
8,Tri-County Metropolitan Transportation District of Oregon,DR,Average Typical Sunday,7309,1285,7854
8,Tri-County Metropolitan Transportation District of Oregon,DR,Annual Total,6321642,1219067,8714793
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Weekday - AM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Weekday - Midday,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Weekday - PM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Weekday - Other,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Typical Weekday,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Typical Saturday,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Average Typical Sunday,,,
8,Tri-County Metropolitan Transportation District of Oregon,DT,Annual Total,1060073,,1285943
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Weekday - AM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Weekday - Midday,,,
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Weekday - PM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Weekday - Other,,,
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Typical Weekday,23359,356,645217
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Typical Saturday,18100,175,439802
8,Tri-County Metropolitan Transportation District of Oregon,LR,Average Typical Sunday,16165,169,337041
8,Tri-County Metropolitan Transportation District of Oregon,LR,Annual Total,7836651,109373,207131516
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Weekday - AM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Weekday - Midday,,,
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Weekday - PM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Weekday - Other,,,
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Typical Weekday,64612,11965,939044
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Typical Saturday,36285,3878,475896
8,Tri-County Metropolitan Transportation District of Oregon,MB,Average Typical Sunday,30463,3189,382611
8,Tri-County Metropolitan Transportation District of Oregon,MB,Annual Total,20177176,3466349,287005998
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Weekday - AM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Weekday - Midday,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Weekday - PM Peak,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Weekday - Other,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Typical Weekday,641,9,15831
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Typical Saturday,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Average Typical Sunday,,,
8,Tri-County Metropolitan Transportation District of Oregon,YR,Annual Total,162199,2210,3991627
9,Kalispel Tribe of Indians,DR,Annual Total,29761,,
9,Kalispel Tribe of Indians,MB,Annual Total,107813,,
10,Klamath Tribes,CB,Annual Total,113233,,
10,Klamath Tribes,DR,Annual Total,64622,,
11,Valley Regional Transit,DR,Average Weekday - AM Peak,,,
11,Valley Regional Transit,DR,Average Weekday - Midday,,,
11,Valley Regional Transit,DR,Average Weekday - PM Peak,,,
11,Valley Regional Transit,DR,Average Weekday - Other,,,
11,Valley Regional Transit,DR,Average Typical Weekday,1171,377,1096
11,Valley Regional Transit,DR,Average Typical Saturday,309,140,298
11,Valley Regional Transit,DR,Average Typical Sunday,,,
11,Valley Regional Transit,DR,Annual Total,315584,103658,320174
11,Valley Regional Transit,MB,Average Weekday - AM Peak,,,
11,Valley Regional Transit,MB,Average Weekday - Midday,,,
11,Valley Regional Transit,MB,Average Weekday - PM Peak,,,
11,Valley Regional Transit,MB,Average Weekday - Other,,,
11,Valley Regional Transit,MB,Average Typical Weekday,5337,733,24237
11,Valley Regional Transit,MB,Average Typical Saturday,927,82,4284
11,Valley Regional Transit,MB,Average Typical Sunday,,,
11,Valley Regional Transit,MB,Annual Total,1414546,191716,6437877
12,Municipality of Anchorage - Public Transportation Department,DR,Average Weekday - AM Peak,,,
12,Municipality of Anchorage - Public Transportation Department,DR,Average Weekday - Midday,,,
12,Municipality of Anchorage - Public Transportation Department,DR,Average Weekday - PM Peak,,,
12,Municipality of Anchorage - Public Transportation Department,DR,Average Weekday - Other,,,
12,Municipality of Anchorage - Public Transportation Department,DR,Average Typical Weekday,3759,535,3916
12,Municipality of Anchorage - Public Transportation Department,DR,Average Typical Saturday,841,120,876
12,Municipality of Anchorage - Public Transportation Department,DR,Average Typical Sunday,595,85,620
12,Municipality of Anchorage - Public Transportation Department,DR,Annual Total,1055711,150452,1099896
12,Municipality of Anchorage - Public Transportation Department,MB,Average Weekday - AM Peak,,,
12,Municipality of Anchorage - Public Transportation Department,MB,Average Weekday - Midday,,,
12,Municipality of Anchorage - Public Transportation Department,MB,Average Weekday - PM Peak,,,
12,Municipality of Anchorage - Public Transportation Department,MB,Average Weekday - Other,,,
12,Municipality of Anchorage - Public Transportation Department,MB,Average Typical Weekday,6380,736,60336
12,Municipality of Anchorage - Public Transportation Department,MB,Average Typical Saturday,3274,245,28832
12,Municipality of Anchorage - Public Transportation Department,MB,Average Typical Sunday,2281,215,17593
12,Municipality of Anchorage - Public Transportation Department,MB,Annual Total,1934972,213595,17703305
14,Sitka Tribe of Alaska,MB,Annual Total,43860,,
15,Snoqualmie Indian Tribe,DR,Annual Total,135995,,
16,RiverCities Transit,DR,Average Weekday - AM Peak,,,
16,RiverCities Transit,DR,Average Weekday - Midday,,,
16,RiverCities Transit,DR,Average Weekday - PM Peak,,,
16,RiverCities Transit,DR,Average Weekday - Other,,,
16,RiverCities Transit,DR,Average Typical Weekday,655,83,621
16,RiverCities Transit,DR,Average Typical Saturday,315,48,420
16,RiverCities Transit,DR,Average Typical Sunday,,,
16,RiverCities Transit,DR,Annual Total,183920,23619,180621
16,RiverCities Transit,MB,Average Weekday - AM Peak,,,
16,RiverCities Transit,MB,Average Weekday - Midday,,,
16,RiverCities Transit,MB,Average Weekday - PM Peak,,,
16,RiverCities Transit,MB,Average Weekday - Other,,,
16,RiverCities Transit,MB,Average Typical Weekday,1259,39,6297
16,RiverCities Transit,MB,Average Typical Saturday,603,19,3174
16,RiverCities Transit,MB,Average Typical Sunday,,,
16,RiverCities Transit,MB,Annual Total,350531,10876,1777188
17,Stillaguamish Tribe of Indians,DR,Annual Total,79806,,
17,Stillaguamish Tribe of Indians,VP,Annual Total,168490,,
18,Ben Franklin Transit,DR,Average Weekday - AM Peak,,,
18,Ben Franklin Transit,DR,Average Weekday - Midday,,,
18,Ben Franklin Transit,DR,Average Weekday - PM Peak,,,
18,Ben Franklin Transit,DR,Average Weekday - Other,,,
18,Ben Franklin Transit,DR,Average Typical Weekday,6898,1096,9466
18,Ben Franklin Transit,DR,Average Typical Saturday,2737,810,3336
18,Ben Franklin Transit,DR,Average Typical Sunday,,0,0
18,Ben Franklin Transit,DR,Annual Total,1877660,300995,2556659
18,Ben Franklin Transit,DR,Average Weekday - AM Peak,,,
18,Ben Franklin Transit,DR,Average Weekday - Midday,,,
18,Ben Franklin Transit,DR,Average Weekday - PM Peak,,,
18,Ben Franklin Transit,DR,Average Weekday - Other,,,
18,Ben Franklin Transit,DR,Average Typical Weekday,818,209,2227
18,Ben Franklin Transit,DR,Average Typical Saturday,,0,0
18,Ben Franklin Transit,DR,Average Typical Sunday,,0,0
18,Ben Franklin Transit,DR,Annual Total,204534,52225,556781
18,Ben Franklin Transit,DT,Average Weekday - AM Peak,,,
18,Ben Franklin Transit,DT,Average Weekday - Midday,,,
18,Ben Franklin Transit,DT,Average Weekday - PM Peak,,,
18,Ben Franklin Transit,DT,Average Weekday - Other,,,
18,Ben Franklin Transit,DT,Average Typical Weekday,,,
18,Ben Franklin Transit,DT,Average Typical Saturday,,,
18,Ben Franklin Transit,DT,Average Typical Sunday,,,
18,Ben Franklin Transit,DT,Annual Total,705818,,637712
18,Ben Franklin Transit,MB,Average Weekday - AM Peak,,,
18,Ben Franklin Transit,MB,Average Weekday - Midday,,,
18,Ben Franklin Transit,MB,Average Weekday - PM Peak,,,
18,Ben Franklin Transit,MB,Average Weekday - Other,,,
18,Ben Franklin Transit,MB,Average Typical Weekday,7493,716,40552
18,Ben Franklin Transit,MB,Average Typical Saturday,4403,372,13895
18,Ben Franklin Transit,MB,Average Typical Sunday,,0,0
18,Ben Franklin Transit,MB,Annual Total,2148656,182604,10931415
18,Ben Franklin Transit,VP,Average Weekday - AM Peak,,,
18,Ben Franklin Transit,VP,Average Weekday - Midday,,,
18,Ben Franklin Transit,VP,Average Weekday - PM Peak,,,
18,Ben Franklin Transit,VP,Average Weekday - Other,,,
18,Ben Franklin Transit,VP,Average Typical Weekday,13954,0,93451
18,Ben Franklin Transit,VP,Average Typical Saturday,1674,0,10208
18,Ben Franklin Transit,VP,Average Typical Sunday,1450,0,8955
18,Ben Franklin Transit,VP,Annual Total,3804373,0,25387184
19,Intercity Transit,CB,Average Weekday - AM Peak,,,
19,Intercity Transit,CB,Average Weekday - Midday,,,
19,Intercity Transit,CB,Average Weekday - PM Peak,,,
19,Intercity Transit,CB,Average Weekday - Other,,,
19,Intercity Transit,CB,Average Typical Weekday,1888,189,16863
19,Intercity Transit,CB,Average Typical Saturday,541,13,5696
19,Intercity Transit,CB,Average Typical Sunday,540,14,3758
19,Intercity Transit,CB,Annual Total,540214,56167,4813977
19,Intercity Transit,DR,Average Weekday - AM Peak,,,
19,Intercity Transit,DR,Average Weekday - Midday,,,
19,Intercity Transit,DR,Average Weekday - PM Peak,,,
19,Intercity Transit,DR,Average Weekday - Other,,,
19,Intercity Transit,DR,Average Typical Weekday,3174,350,3426
19,Intercity Transit,DR,Average Typical Saturday,1175,136,1348
19,Intercity Transit,DR,Average Typical Sunday,1130,148,1349
19,Intercity Transit,DR,Annual Total,938704,104951,1024239
19,Intercity Transit,MB,Average Weekday - AM Peak,,,
19,Intercity Transit,MB,Average Weekday - Midday,,,
19,Intercity Transit,MB,Average Weekday - PM Peak,,,
19,Intercity Transit,MB,Average Weekday - Other,,,
19,Intercity Transit,MB,Average Typical Weekday,7522,477,47247
19,Intercity Transit,MB,Average Typical Saturday,4772,211,32543
19,Intercity Transit,MB,Average Typical Sunday,3075,130,22324
19,Intercity Transit,MB,Annual Total,2342410,135657,14982754
19,Intercity Transit,VP,Average Weekday - AM Peak,,,
19,Intercity Transit,VP,Average Weekday - Midday,,,
19,Intercity Transit,VP,Average Weekday - PM Peak,,,
19,Intercity Transit,VP,Average Weekday - Other,,,
19,Intercity Transit,VP,Average Typical Weekday,12725,0,90830
19,Intercity Transit,VP,Average Typical Saturday,1237,0,10054
19,Intercity Transit,VP,Average Typical Sunday,806,0,6490
19,Intercity Transit,VP,Annual Total,3427110,0,24567097
20,Kitsap Transit,DR,Average Weekday - AM Peak,,,
20,Kitsap Transit,DR,Average Weekday - Midday,,,
20,Kitsap Transit,DR,Average Weekday - PM Peak,,,
20,Kitsap Transit,DR,Average Weekday - Other,,,
20,Kitsap Transit,DR,Average Typical Weekday,4816,463,7104
20,Kitsap Transit,DR,Average Typical Saturday,1334,130,1987
20,Kitsap Transit,DR,Average Typical Sunday,,,
20,Kitsap Transit,DR,Annual Total,1297450,124886,1914854
20,Kitsap Transit,FB,Average Weekday - AM Peak,,,
20,Kitsap Transit,FB,Average Weekday - Midday,,,
20,Kitsap Transit,FB,Average Weekday - PM Peak,,,
20,Kitsap Transit,FB,Average Weekday - Other,,,
20,Kitsap Transit,FB,Average Typical Weekday,159,5,2823
20,Kitsap Transit,FB,Average Typical Saturday,85,0,866
20,Kitsap Transit,FB,Average Typical Sunday,,,
20,Kitsap Transit,FB,Annual Total,44634,2285,764964
20,Kitsap Transit,MB,Average Weekday - AM Peak,,,
20,Kitsap Transit,MB,Average Weekday - Midday,,,
20,Kitsap Transit,MB,Average Weekday - PM Peak,,,
20,Kitsap Transit,MB,Average Weekday - Other,,,
20,Kitsap Transit,MB,Average Typical Weekday,7418,1669,55672
20,Kitsap Transit,MB,Average Typical Saturday,1738,168,10831
20,Kitsap Transit,MB,Average Typical Sunday,,,
20,Kitsap Transit,MB,Annual Total,1981899,434423,14750059
20,Kitsap Transit,VP,Average Weekday - AM Peak,,,
20,Kitsap Transit,VP,Average Weekday - Midday,,,
20,Kitsap Transit,VP,Average Weekday - PM Peak,,,
20,Kitsap Transit,VP,Average Weekday - Other,,,
20,Kitsap Transit,VP,Average Typical Weekday,3767,0,16442
20,Kitsap Transit,VP,Average Typical Saturday,,,
