Year,AutoPropIcev,AutoPropHev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropBev
1990,1,0,0,1,0,0
2000,1,0,0,1,0,0
2010,0.99,0.01,0,1,0,0
2020,0.741,0.2535,0.0055,0.8613,0.1376,0.0011
2030,0.517,0.4704,0.0126,0.6076,0.3882,0.0042
2040,0.441,0.528,0.031,0.5335,0.4572,0.0093
2050,0.3956,0.561,0.0434,0.5088,0.4788,0.0124
