Year,PropDiesel,PropGasoline,PropLng
1990,0.95,0.05,0
2000,0.95,0.05,0
2010,0.94,0.05,0.01
2020,0.94,0.05,0.01
2030,0.94,0.05,0.01
2040,0.935,0.05,0.015
2050,0.935,0.05,0.015
