Year,VanIcevMpg,VanHevMpg,VanBevMpkwh,BusIcevMpg,BusHevMpg,BusBevMpkwh,RailIcevMpg,RailHevMpg,RailEvMpkwh
1990,5.5,NA,NA,3.8,NA,NA,1.6,1.6,0.101
2000,7.5,NA,NA,3.6,NA,NA,1.6,1.6,0.114
2010,8.5,11.3,0.96,4.4,5.9,0.48,1.6,1.6,0.152
2020,9.6,12.8,1.02,4.9,6.5,0.51,1.7,1.7,0.165
2030,10.8,14.3,1.08,5.6,7.5,0.54,1.9,1.9,0.185
2040,10.8,14.3,1.14,5.6,7.5,0.57,1.9,1.9,0.205
2050,10.8,14.3,1.20,5.6,7.5,0.60,1.9,1.9,0.225
