ModelYear,AutoIcevMpg,LtTrkIcevMpg,AutoHevMpg,LtTrkHevMpg,AutoPhevMpg,AutoPhevMpkwh,AutoPhevRange,LtTrkPhevMpg,LtTrkPhevMpkwh,LtTrkPhevRange,AutoBevMpkwh,AutoBevRange,LtTrkBevMpkwh,LtTrkBevRange
2013,32.7,23.4,52,32.8,60.74,3,25,45.84,2,25,3,50,2,25
2014,33.8,24.2,54,34.4,62.12,3,25,47.22,2,25,3,50,2,25
2015,35,25,56,36,68.8,3,25,48.6,2,25,3,75,2,50
2016,35.6,26.2,57.2,37.4,69.16,3,25,48.96,2,25,3,75,2,50
2017,36.2,27.4,58.4,38.8,69.52,3,25,49.32,2,25,3,75,2,50
2018,36.8,28.6,59.6,40.2,69.88,3,25,49.68,2,25,3,75,2,50
2019,37.4,29.8,60.8,41.6,70.24,3,25,50.04,2,25,3,75,2,50
2020,38,31,62,43,72,3,25,50.4,2,25,3,100,2,75
2021,38.4,32.2,62.8,44,72.36,3,30,50.76,2,30,3,100,2,75
2022,38.8,33.4,63.6,45,72.72,3,30,51.12,2,30,3,100,2,75
2023,39.2,34.6,64.4,46,73.08,3,30,51.48,2,30,3,100,2,75
2024,39.6,35.8,65.2,47,73.44,3,30,51.84,2,30,3,100,2,75
2025,40,37,66,48,75.2,3,30,52.2,2,30,3,125,2,100
2026,40.2,37.6,66.6,48.6,75.92,3.5,30,52.58,2,30,3.5,125,2,100
2027,40.4,38.2,67.2,49.2,76.64,3.5,30,52.96,2,30,3.5,125,2,100
2028,40.5,38.9,67.9,49.8,77.36,3.5,30,53.34,2,30,3.5,125,2,100
2029,40.7,39.5,68.5,50.4,78.08,3.5,30,53.72,2,30,3.5,125,2,100
2030,40.9,40.1,69.1,51,78.8,3.5,30,54.1,2,30,3.5,150,2,125
2031,41.1,40.3,69.4,51.4,79.34,3.5,35,54.44,2,35,3.5,150,2,125
2032,41.2,40.4,69.7,51.8,79.88,3.5,35,54.78,2,35,3.5,150,2,125
2033,41.4,40.6,70.1,52.2,80.42,3.5,35,55.12,2,35,3.5,150,2,125
2034,41.6,40.7,70.4,52.6,80.96,3.5,35,55.46,2,35,3.5,150,2,125
2035,41.8,40.9,70.7,53,81.5,3.5,35,55.8,2,35,3.5,175,2,150
2036,41.9,40.9,71,53.2,82.06,3.5,35,56.12,2,35,3.5,175,2,150
2037,42.1,41,71.3,53.4,82.62,3.5,35,56.44,2,35,3.5,175,2,150
2038,42.3,41,71.7,53.6,83.18,3.5,35,56.76,2,35,3.5,175,2,150
2039,42.5,41.1,72,53.9,83.74,3.5,35,57.08,2,35,3.5,175,2,150
2040,42.6,41.1,72.3,54.1,84.3,3.5,35,57.4,2,35,3.5,200,2,175
2041,42.8,41.1,72.6,54.3,84.86,3.5,40,57.7,2,40,3.5,200,2,175
2042,43,41.1,72.9,54.5,85.42,3.5,40,58,2,40,3.5,200,2,175
2043,43.2,41.1,73.3,54.8,85.98,3.5,40,58.3,2,40,3.5,200,2,175
2044,43.3,41.1,73.6,55,86.54,3.5,40,58.6,2,40,3.5,200,2,175
2045,43.5,41.1,73.9,55.2,87.1,3.5,40,58.9,2,40,3.5,200,2,175
2046,43.7,41.1,74.2,55.4,87.68,3.5,40,59.18,2,40,3.5,200,2,175
2047,43.8,41.1,74.5,55.6,88.26,3.5,40,59.46,2,40,3.5,200,2,175
2048,44,41.1,74.9,55.9,88.84,3.5,40,59.74,2,40,3.5,200,2,175
2049,44.2,41.1,75.2,56.1,89.42,3.5,40,60.02,2,40,3.5,200,2,175
2050,44.4,41.1,75.5,56.3,90,3.5,40,60.3,2,40,3.5,200,2,175
