AgencyID,PrimaryUZA,UZAName,Population
40077,4,"Miami, FL",5502379
40078,9,"Atlanta, GA",4515419
40080,291,"Kingsport, TN-VA",106571
40081,370,"Anderson, SC",75702
40082,9,"Atlanta, GA",4515419
40086,21,"San Juan, PR",2148346
40087,110,"Durham, NC",347602
40092,208,"Clarksville, TN-KY",158655
40093,120,"Greensboro, NC",311810
40094,21,"San Juan, PR",2148346
40095,266,"Greenville, NC",117798
40096,406,"Rocky Mount, NC",68243
40097,101,"Port St. Lucie, FL",376047
40100,380,"Sumter, SC",73107
40101,192,"Spartanburg, SC",180786
40102,166,"Myrtle Beach-Socastee, SC-NC",215304
40103,402,"Dothan, AL",68781
40104,220,"Sebastian-Vero Beach South-Florida Ridge, FL",149422
40105,21,"San Juan, PR",2148346
40108,110,"Durham, NC",347602
40110,76,"Charleston-North Charleston, SC",548404
40111,392,"Decatur, AL",70436
40112,21,"San Juan, PR",2148346
40114,124,"Aguadilla-Isabela-San Sebastian, PR",306196
40115,21,"San Juan, PR",2148346
40117,21,"San Juan, PR",2148346
40120,211,"Ocala, FL",156909
40121,284,"Mayaguez, PR",109572
40122,21,"San Juan, PR",2148346
40123,21,"San Juan, PR",2148346
40124,21,"San Juan, PR",2148346
40125,21,"San Juan, PR",2148346
40126,21,"San Juan, PR",2148346
40127,179,"Winter Haven, FL",201289
40128,186,"Fort Walton Beach-Navarre-Wright, FL",191917
40129,199,"North Port-Port Charlotte, FL",169541
40130,234,"Macon, GA",137570
40131,202,"High Point, NC",166485
40132,442,"Goldsboro, NC",61054
40133,120,"Greensboro, NC",311810
40135,9,"Atlanta, GA",4515419
40137,21,"San Juan, PR",2148346
40138,9,"Atlanta, GA",4515419
40140,121,"Bonita Springs, FL",310298
40141,75,"Columbia, SC",549777
40143,50,"Raleigh, NC",884891
40144,245,"Gainesville, GA",130846
40145,21,"San Juan, PR",2148346
40146,221,"Spring Hill, FL",148220
40147,50,"Raleigh, NC",884891
40150,387,"Florida-Imbery-Barceloneta, PR",71747
40151,232,"Arecibo, PR",139171
40152,4,"Miami, FL",5502379
40153,9,"Atlanta, GA",4515419
40155,399,"St. Augustine, FL",69173
40156,98,"Augusta-Richmond County, GA-SC",386787
40158,244,"Leesburg-Eustis-Tavares, FL",131337
40159,44,"Nashville-Davidson, TN",969587
40160,232,"Arecibo, PR",139171
40161,9,"Atlanta, GA",4515419
40162,44,"Nashville-Davidson, TN",969587
40164,339,"Fajardo, PR",85225
40165,21,"San Juan, PR",2148346
40166,294,"Jacksonville, NC",105419
40167,167,"Concord, NC",214881
40169,55,"Birmingham, AL",749495
40170,414,"Cleveland, TN",66777
40171,74,"Knoxville, TN",558696
40172,170,"Hickory, NC",212195
40173,120,"Greensboro, NC",311810
40174,319,"Yauco, PR",90899
40175,21,"San Juan, PR",2148346
40176,9,"Atlanta, GA",4515419
40178,44,"Nashville-Davidson, TN",969587
40179,4,"Miami, FL",5502379
40180,249,"Athens-Clarke County, GA",128754
40181,9,"Atlanta, GA",4515419
40182,21,"San Juan, PR",2148346
40183,124,"Aguadilla-Isabela-San Sebastian, PR",306196
40184,364,"Bowling Green, KY",78306
40185,229,"Panama City, FL",143280
40186,241,"Murfreesboro, TN",133228
40187,295,"Rock Hill, SC",104996
40188,600,"Virgin Islands, VI",106405
40190,449,"Morristown, TN",59036
40191,379,"Elizabethtown-Radcliff, KY",73467
40192,101,"Port St. Lucie, FL",376047
40193,486,"Hinesville, GA",51456
40194,284,"Mayaguez, PR",109572
40195,21,"San Juan, PR",2148346
40196,43,"Louisville/Jefferson County, KY-IN",972546
40197,124,"Aguadilla-Isabela-San Sebastian, PR",306196
40198,21,"San Juan, PR",2148346
40199,21,"San Juan, PR",2148346
40200,17,"Tampa-St. Petersburg, FL",2441770
40201,21,"San Juan, PR",2148346
40203,9,"Atlanta, GA",4515419
