"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0020712","01313",18,0,2,"08",15200
"0020799","01102",25,0,2,"01",21200
"0020893","00701",6,0,2,"02",70400
"0021393","00600",33,0,5,"01",51200
"0021402","00400",24,0,5,"02",230900
"0021428","01313",21,0,2,"07",20500
"0021803","00100",6,0,1,"01",16800
"0022560","01303",15,0,4,"02",57590
"0022697","00600",19,0,3,"02",7500
"0022755","00500",24,0,4,"02",24000
"0022912","00100",9,0,2,"01",52000
"0023121","00200",19,0,1,"01",23060
"0023180","00702",19,0,3,"02",47000
"0023463","01200",0,1,1,"  ",0
"0023570","01102",15,0,3,"02",58000
"0023709","00600",24,0,2,"06",30200
"0023778","01101",21,0,1,"01",8900
"0023980","00100",6,0,3,"02",334190
"0024095","00500",9,0,2,"07",39000
"0024125","00400",30,0,4,"02",55000
"0024214","00200",21,0,3,"02",53500
"0024217","01102",0,1,1,"  ",0
"0024466","01309",6,0,2,"02",139920
"0024498","01101",22,0,1,"02",21500
"0024732","01308",9,0,5,"01",65700
"0024744","01305",21,0,4,"08",18130
"0025020","00800",24,0,1,"10",10100
"0025181","00600",24,0,2,"02",3000
"0025306","00500",20,0,0,"02",0
"0025357","01310",6,0,2,"02",15900
"0025473","00701",21,0,4,"01",52280
"0025569","00500",9,0,1,"02",5600
"0025577","01310",16,0,5,"02",60000
"0025683","00300",25,0,2,"02",47030
"0025929","00800",28,0,1,"02",19000
"0026059","00200",6,0,2,"01",55750
"0026191","00600",21,0,2,"02",28100
"0026197","01000",24,0,2,"02",38000
"0026233","00400",21,0,1,"02",34100
"0026290","00200",6,0,1,"02",13690
"0026379","00300",18,0,6,"01",23400
"0026388","01302",0,1,1,"  ",0
"0026412","01311",24,0,5,"02",46000
"0026440","00800",25,0,1,"02",12200
"0026550","01311",25,0,4,"07",17700
"0026560","00800",15,0,2,"02",102500
"0026654","01101",27,0,5,"02",52000
"0026760","00900",18,0,2,"02",18600
"0026822","00200",23,0,0,"01",0
"0026894","01000",21,0,2,"02",56150
"0026997","00800",15,0,2,"02",18400
"0027285","00800",25,0,2,"02",36000
"0027373","00702",18,0,2,"02",59300
"0027434","01102",0,2,1,"  ",0
"0027533","01305",24,0,1,"07",30400
"0027580","00100",19,0,2,"02",22700
"0027951","01309",15,0,3,"02",51760
"0027983","00500",9,0,0,"05",0
"0027987","01310",18,0,6,"02",82960
"0028159","00800",24,0,2,"04",56000
"0028312","01303",15,0,2,"02",61460
"0028455","00900",13,0,0,"02",0
"0028528","01102",21,0,5,"02",108960
"0028570","00500",7,0,1,"02",20000
"0028607","01306",25,0,1,"02",37000
"0028640","01302",30,0,1,"08",21200
"0028664","01303",0,1,1,"  ",0
"0028715","01306",18,0,2,"02",76000
"0028731","01102",27,0,2,"02",78800
"0028842","00200",0,2,1,"  ",0
"0028876","01304",21,0,3,"02",39280
"0028928","01101",34,0,3,"02",89330
"0028945","00400",21,0,1,"02",72500
"0029096","00200",6,0,2,"02",90000
"0029240","01102",9,0,1,"02",32810
"0029334","00100",12,0,1,"02",18400
"0029345","01101",18,0,1,"02",27500
"0029655","00600",12,0,1,"02",10900
"0029844","01308",22,0,4,"02",118350
