"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"2670759","01102",19,0,2,"02",28000
"2670832","01302",19,0,3,"03",22000
"2670897","01301",19,0,2,"02",41040
"2670999","01311",18,0,4,"03",35000
"2671110","01309",33,0,1,"07",45000
"2671173","01200",24,0,4,"02",56000
"2671292","00900",18,0,6,"01",59900
"2671328","00702",18,0,2,"02",28800
"2671461","00702",21,0,2,"02",38500
"2671674","00500",49,0,3,"04",34900
"2671689","00500",21,0,2,"01",42700
"2671770","01000",22,0,2,"02",36190
"2671862","00701",6,0,1,"02",38440
"2671975","00600",10,0,0,"03",0
"2672016","00500",43,0,0,"02",0
"2672068","01200",15,0,5,"02",45560
"2672173","01306",30,0,2,"02",55000
"2672197","00100",15,0,2,"02",57000
"2672429","01312",18,0,3,"02",170500
"2672613","01101",28,0,1,"09",31400
"2672647","00200",15,0,3,"02",51100
"2672666","01304",31,0,1,"06",10000
"2672761","01102",33,0,6,"02",97200
"2672803","00600",27,0,3,"08",1300
"2672970","00500",12,0,1,"02",6800
"2672977","00600",22,0,1,"07",24000
"2673276","01200",24,0,2,"02",13110
"2673278","00800",0,1,1,"  ",0
"2673293","01312",21,0,5,"08",15000
"2673476","00100",12,0,1,"08",20190
"2673541","01306",21,0,2,"01",30600
"2673606","00500",21,0,2,"02",66600
"2673680","01312",18,0,3,"09",63600
"2673814","01307",22,0,1,"02",29000
"2674363","01304",27,0,2,"02",429000
"2674566","01309",24,0,2,"02",43400
"2674683","00200",15,0,4,"01",63600
"2674804","00900",24,0,2,"06",14000
"2674828","01200",30,0,1,"02",50000
"2674978","01301",15,0,2,"02",27500
"2675108","01304",27,0,1,"09",91000
"2675353","01306",0,2,1,"  ",0
"2675381","01307",19,0,2,"02",79000
"2675401","00200",22,0,2,"02",9000
"2675484","00900",9,0,2,"02",29800
"2675514","01101",30,0,3,"02",54000
"2675570","00701",21,0,2,"02",33400
"2675615","01313",28,0,2,"06",126000
"2675735","00200",3,0,4,"02",49000
"2675871","00400",34,0,0,"02",0
"2675979","01308",21,0,3,"02",89050
"2676041","00800",22,0,2,"02",21000
"2676051","01310",27,0,1,"06",47600
"2676121","01101",28,0,1,"03",146000
"2676195","01311",12,0,2,"01",56000
"2676441","01101",21,0,2,"02",42130
"2676482","01304",27,0,2,"02",39500
"2676635","01301",28,0,1,"02",7300
"2676682","01308",25,0,3,"02",116700
"2676884","00800",25,0,1,"02",6400
"2677087","01305",28,0,1,"07",38700
"2677151","00701",24,0,2,"02",16000
"2677162","01101",28,0,2,"02",86600
"2677230","01306",15,0,4,"06",52000
"2677239","01313",24,0,3,"02",35400
"2677304","01305",21,0,2,"07",35000
"2677332","01000",18,0,3,"02",20000
"2677343","01307",18,0,5,"02",63200
"2677368","01311",30,0,4,"02",122050
"2677569","00600",22,0,3,"02",67100
"2677648","01000",6,0,2,"02",37800
"2677674","00800",12,0,3,"01",31500
"2678180","01000",18,0,2,"01",1600
"2678368","01308",16,0,2,"09",34300
"2678622","00600",24,0,0,"01",0
"2678623","01311",27,0,4,"02",49640
"2678760","01200",9,0,1,"02",53000
"2678763","01101",22,0,1,"02",54520
"2678908","01308",0,1,1,"  ",0
"2678935","00300",6,0,2,"02",42980
"2679102","00200",6,0,1,"02",13400
"2679132","00900",30,0,2,"02",27810
"2679266","00400",33,0,3,"01",9960
"2679394","01312",30,0,4,"02",75090
"2679409","01309",31,0,2,"02",68000
"2679469","00600",22,0,4,"02",50400
"2679543","01310",25,0,2,"03",50000
"2679662","01308",27,0,3,"02",128390
"2680234","01102",12,0,2,"02",30400
"2680238","00200",9,0,1,"04",6620
"2680436","01302",20,0,0,"07",0
"2680442","01101",13,0,0,"02",0
"2680542","01301",0,2,1,"  ",0
"2680656","01307",24,0,5,"02",72100
"2680735","00800",27,0,1,"05",37100
"2680767","01306",25,0,1,"08",11000
"2680994","00400",6,0,3,"02",32500
"2680997","01310",20,0,0,"07",0
"2681195","00600",18,0,3,"02",176000
"2681271","01101",28,0,2,"02",65700
"2681309","01310",27,0,2,"05",70400
"2681333","00100",22,0,1,"06",5900
"2681404","00702",22,0,3,"02",12300
"2681420","01309",27,0,1,"02",9000
"2681431","01304",21,0,1,"08",7970
"2681469","00702",31,0,2,"06",56000
"2681769","00900",25,0,4,"02",60210
"2681833","00200",21,0,1,"02",16200
"2681898","01309",25,0,4,"02",120000
"2682263","01305",18,0,2,"02",35400
"2682642","01301",18,0,2,"02",41800
"2682838","01102",6,0,6,"02",54000
"2682882","00900",30,0,0,"02",0
"2683039","01306",25,0,1,"02",520
"2683049","00800",27,0,1,"02",1800
"2683076","00200",21,0,2,"02",30000
"2683237","01101",24,0,1,"09",10100
"2683316","00800",25,0,1,"02",15000
"2683319","01313",21,0,3,"08",45000
"2683491","01000",12,0,3,"02",26000
"2683502","00600",7,0,1,"10",12860
"2683713","00100",6,0,1,"02",46500
"2684382","00100",15,0,3,"01",16200
"2684609","00300",16,0,3,"07",42000
"2684635","01301",15,0,1,"02",10000
"2684940","01304",18,0,2,"08",25000
"2685006","00200",7,0,5,"09",15000
"2685044","01311",24,0,2,"02",65600
"2685255","00900",24,0,1,"02",20800
"2685325","00900",0,2,1,"  ",0
"2685488","01102",7,0,2,"02",33100
"2685490","00600",21,0,2,"02",93040
"2685555","00300",0,2,1,"  ",0
"2685756","00600",27,0,2,"02",63000
"2685770","00800",21,0,1,"01",32700
"2685882","01302",28,0,4,"02",68300
"2686424","01304",18,0,3,"04",22000
"2686489","00500",12,0,1,"01",20400
"2686655","01307",25,0,4,"02",58360
"2686670","01311",27,0,1,"05",30000
"2686809","01303",21,0,1,"08",22000
"2686916","00600",6,0,0,"02",0
"2687035","00100",21,0,3,"02",65900
"2688056","01304",18,0,2,"02",155000
"2688197","00500",18,0,2,"02",60560
"2688369","01000",12,0,3,"02",34000
"2688439","00100",7,0,0,"01",0
"2688723","00100",6,0,1,"02",10000
"2688758","01309",21,0,3,"02",0
"2689166","00702",21,0,2,"02",37400
"2689215","01101",27,0,3,"02",60000
"2689282","01305",16,0,1,"07",18630
"2689331","00702",24,0,5,"02",65000
"2689348","00600",21,0,5,"02",45720
"2689525","00200",18,0,1,"02",10800
"2689924","00500",24,0,1,"02",4400
"2689960","01102",22,0,1,"02",75500
"2690014","00100",18,0,2,"02",8700
"2690107","01102",9,0,8,"02",18300
"2690118","00701",40,0,6,"01",74900
"2690123","00200",19,0,2,"02",34900
"2690191","01305",18,0,3,"02",80000
"2690210","00100",6,0,4,"01",32600
"2690340","01102",21,0,1,"01",5600
"2690539","00600",25,0,2,"02",56000
"2690578","00800",37,0,2,"01",22500
"2691066","00702",18,0,2,"02",17600
"2691076","00200",10,0,0,"02",0
"2691078","00500",15,0,2,"02",60000
"2691389","01304",37,0,2,"08",74600
"2691480","00800",67,0,0,"02",0
"2691738","01000",28,0,3,"03",20480
"2691739","01200",27,0,2,"03",48400
"2691740","01200",6,0,6,"02",8400
"2692033","01000",28,0,1,"01",22700
"2692040","00100",6,0,3,"02",12800
"2692190","01313",25,0,4,"02",140200
"2692200","01101",22,0,2,"02",31000
"2692379","01102",6,0,4,"01",111000
"2692380","01308",0,2,1,"  ",0
"2692457","00600",18,0,1,"08",25100
"2692850","00400",27,0,6,"02",190900
"2692900","00300",19,0,5,"02",71500
"2692971","00200",21,0,1,"01",12400
"2693066","01302",30,0,3,"03",50000
"2693104","01302",28,0,2,"02",26060
"2693400","00800",19,0,1,"02",38000
"2693405","00500",21,0,1,"01",4400
"2693417","01311",15,0,3,"02",80900
"2693419","01312",18,0,2,"03",76000
"2693481","01101",24,0,2,"02",114250
"2693536","00300",12,0,1,"02",9000
"2693601","01308",22,0,1,"02",11500
"2693748","00300",22,0,1,"02",11000
"2693891","01302",6,0,3,"02",156000
"2693902","01307",7,0,4,"02",123000
"2694115","01000",3,0,2,"02",29700
"2694333","01310",21,0,3,"02",98300
"2694544","01200",15,0,1,"08",10800
"2694553","00100",22,0,6,"01",30600
"2694578","00200",12,0,3,"01",18200
"2694789","00100",21,0,1,"08",35600
"2695138","00500",6,0,2,"06",136000
"2695583","00400",30,0,2,"02",80000
"2695711","00600",18,0,1,"02",7600
"2695761","00500",27,0,4,"01",51880
"2695874","00200",10,0,0,"02",0
"2695913","00300",19,0,1,"08",8800
"2695997","00500",10,0,0,"04",0
"2696037","01312",33,0,0,"02",0
"2696102","01311",13,0,3,"02",202000
"2696442","00900",28,0,2,"02",23000
"2696887","01304",0,2,1,"  ",0
"2696912","01306",24,0,4,"02",70000
"2697115","01305",18,0,2,"02",96800
"2697295","01000",14,0,0,"02",0
"2697344","00702",0,2,1,"  ",0
"2697452","01302",10,0,0,"02",0
"2697471","01102",31,0,4,"02",75600
"2697528","00300",9,0,2,"02",49500
"2697588","01200",30,0,4,"02",49900
"2697741","01308",31,0,2,"02",52100
"2697802","01312",27,0,2,"02",185200
"2698240","01307",24,0,3,"02",49400
"2698250","01304",24,0,2,"06",37900
"2698408","01304",0,2,1,"  ",0
"2698757","00900",18,0,2,"01",16500
"2698824","00300",9,0,5,"06",34300
"2699006","00900",24,0,1,"09",9000
"2699022","01200",18,0,2,"02",29420
"2699027","00200",9,0,4,"02",195000
"2699047","00900",15,0,1,"01",21000
"2699195","00500",27,0,1,"02",8700
"2699242","00500",7,0,0,"05",0
"2699392","01308",37,0,0,"02",0
"2699437","00200",6,0,0,"02",0
"2699563","01000",15,0,2,"02",57600
"2699587","00500",13,0,0,"05",0
"2699680","00400",21,0,4,"01",16800
"2699737","01312",18,0,2,"09",47500
"2700006","01309",37,0,5,"02",119870
"2700076","01200",22,0,3,"02",19000
"2700146","00200",18,0,2,"02",37560
"2700323","01304",22,0,4,"02",121820
"2700518","01102",16,0,4,"02",53000
"2700710","01304",25,0,1,"08",20000
"2700766","01101",28,0,2,"02",17580
"2700909","01303",21,0,4,"01",19000
"2701039","00600",36,0,1,"04",38000
"2701048","00300",16,0,1,"02",23300
"2701195","01308",18,0,2,"02",29500
"2701255","01307",24,0,3,"02",44400
"2701428","01000",9,0,2,"01",25000
"2701594","00100",3,0,0,"06",0
"2701641","01200",30,0,2,"02",58050
"2701754","01308",27,0,2,"02",40700
"2701834","01311",28,0,3,"02",89800
"2702392","00702",28,0,2,"02",33230
"2702581","00800",27,0,1,"05",11800
"2702603","00500",7,0,0,"02",0
"2702964","00702",40,0,3,"04",22800
"2703246","00900",37,0,3,"02",49840
"2703410","01305",33,0,0,"09",0
"2703617","01000",22,0,3,"02",81900
"2703656","00800",9,0,5,"02",20900
"2703741","01101",20,0,0,"06",0
"2703784","01000",15,0,1,"02",52000
"2703963","00300",27,0,1,"07",15900
"2703978","00800",25,0,2,"02",27300
"2704213","01310",21,0,2,"06",38900
"2704408","00300",37,0,5,"02",68400
"2704432","01102",7,0,0,"02",0
"2704546","01313",18,0,2,"02",73700
"2704629","01311",0,2,1,"  ",0
"2704837","00701",7,0,2,"02",31000
"2704840","01302",0,2,1,"  ",0
"2705013","01101",0,1,1,"  ",0
"2705196","01102",6,0,2,"02",40400
"2705412","01102",23,0,0,"02",0
"2705456","01301",33,0,8,"03",14000
"2705604","00300",10,0,4,"02",34560
"2705639","00702",37,0,0,"09",0
"2705808","01308",22,0,4,"02",83180
"2705954","00701",21,0,3,"02",48100
"2706206","00701",6,0,3,"01",23400
"2706491","00300",18,0,4,"02",85000
"2706692","00800",27,0,1,"02",21900
"2706771","01311",12,0,2,"02",75100
"2706895","01102",0,1,1,"  ",0
"2706976","00200",9,0,3,"01",31100
"2707260","01306",25,0,2,"08",15000
"2707308","00900",24,0,1,"02",42600
"2707385","00702",24,0,9,"05",19400
"2707582","01303",27,0,3,"02",1e+05
"2707710","01000",19,0,2,"02",68300
"2708120","00500",16,0,0,"02",0
"2708290","00900",18,0,4,"01",56200
"2708333","00400",24,0,4,"02",124440
"2708423","00200",6,0,2,"02",0
"2708681","00800",24,0,3,"02",15100
"2708870","01101",16,0,0,"02",0
"2708887","00500",22,0,3,"02",41600
"2709075","01307",21,0,3,"02",54000
"2709115","00100",6,0,1,"02",20000
"2709161","00702",15,0,2,"02",43500
"2709197","01304",28,0,1,"08",9600
"2709216","01200",6,0,5,"02",20400
"2709234","01308",28,0,1,"08",18000
"2709235","01304",6,0,1,"02",19870
"2709241","01307",6,0,2,"02",54280
"2709361","00600",0,2,1,"  ",0
"2709632","01308",27,0,2,"02",65000
"2709786","00300",21,0,2,"02",173400
"2709852","00702",25,0,3,"06",18900
"2709988","01102",21,0,1,"01",20000
"2710202","00900",27,0,3,"02",65000
"2710754","01308",33,0,1,"02",37000
"2710835","00702",24,0,1,"01",25200
"2710886","01311",27,0,2,"05",25200
"2710916","00800",9,0,2,"01",30000
"2710938","01312",28,0,2,"02",89500
"2710980","01310",28,0,2,"02",36400
"2711232","01307",18,0,2,"02",104800
"2711266","00702",30,0,1,"09",34000
"2711294","00701",27,0,2,"02",12000
"2711348","00100",24,0,2,"02",61000
"2711521","01304",0,1,1,"  ",0
"2712070","01310",21,0,2,"02",45000
"2712163","00200",6,0,1,"10",10000
"2712179","01307",18,0,3,"02",75000
"2712222","00800",21,0,4,"02",10000
"2712223","01307",25,0,4,"02",120000
"2712580","01101",18,0,4,"02",100360
"2712635","01102",33,0,1,"02",60000
"2712916","01307",24,0,2,"02",96000
"2712995","01301",21,0,3,"02",28500
"2713218","01307",24,0,3,"02",79180
"2713486","00701",33,0,2,"02",19000
"2713629","00200",21,0,4,"02",22000
"2713961","01200",28,0,2,"02",82100
"2714592","01102",12,0,5,"02",64680
"2714595","01200",12,0,3,"02",23000
"2714632","01309",18,0,3,"02",139600
"2714744","01313",15,0,2,"02",20100
"2714845","00400",30,0,5,"02",60000
"2714927","00600",24,0,4,"05",76100
"2715050","00100",6,0,3,"02",60300
"2715149","01301",16,0,0,"04",0
"2715154","00500",9,0,1,"02",40800
"2715254","01200",18,0,2,"08",51000
"2715262","01000",28,0,2,"01",19300
"2715443","01311",6,0,1,"02",20500
"2715502","00100",10,0,0,"02",0
"2715595","01309",42,0,5,"04",68000
"2715689","01309",27,0,1,"02",33200
"2715775","01310",24,0,4,"02",99000
"2715830","00100",7,0,0,"01",0
"2715839","01312",27,0,1,"06",23770
"2715853","00600",19,0,2,"02",69300
"2715917","00900",18,0,2,"01",63600
"2715929","00200",3,0,2,"02",27000
"2716014","00200",21,0,3,"02",61404
"2716104","01313",25,0,1,"02",76000
"2716150","00900",28,0,2,"02",56800
"2716243","00701",7,0,0,"02",0
"2716489","01310",28,0,2,"02",51000
"2716527","01306",27,0,2,"09",51660
"2716765","01313",24,0,4,"02",70560
"2717140","00702",16,0,2,"02",27950
"2717245","00702",43,0,0,"02",0
"2717288","00200",21,0,2,"02",40000
"2717794","00200",6,0,1,"01",8000
"2717836","01311",16,0,4,"02",29600
"2717918","00702",25,0,4,"05",37800
"2717977","00100",6,0,2,"02",27500
"2718041","01200",12,0,3,"02",50800
"2718188","01307",21,0,3,"01",43000
"2718270","01302",24,0,2,"02",21200
"2718349","00701",21,0,2,"02",18000
"2718490","01303",0,2,1,"  ",0
"2718527","00701",12,0,5,"01",51000
"2718596","00600",24,0,1,"04",13000
"2718665","01305",18,0,2,"09",16000
"2718802","00100",0,1,1,"  ",0
"2718844","01305",24,0,2,"02",24000
"2718921","01303",24,0,3,"02",71020
"2719126","00300",12,0,2,"02",44400
"2719215","00200",22,0,3,"02",58000
"2719334","01302",30,0,0,"02",0
"2719346","01102",24,0,3,"02",53000
"2719638","01301",18,0,5,"02",90700
"2719758","01305",19,0,3,"04",6300
"2719924","01101",21,0,2,"06",18200
"2719930","01307",27,0,4,"02",68100
"2720005","00100",13,0,0,"02",0
"2720162","01309",25,0,1,"05",33000
"2720404","00702",18,0,2,"07",108900
"2720521","00100",6,0,2,"02",41300
"2720770","01200",31,0,2,"02",64180
"2720922","01304",21,0,3,"07",17100
"2720955","00100",18,0,4,"02",60820
"2720986","00800",27,0,4,"02",50900
"2721012","01304",6,0,5,"02",191300
"2721092","01312",31,0,1,"09",7140
"2721134","01000",6,0,2,"02",16700
"2721172","01310",27,0,1,"07",19600
"2721249","01102",37,0,7,"03",40000
"2721297","00800",24,0,0,"02",0
"2721309","00100",18,0,3,"02",42400
"2721553","01302",15,0,1,"02",9000
"2721760","00702",23,0,0,"09",0
"2721842","00600",24,0,1,"08",9870
"2722436","01304",25,0,6,"02",44500
"2722588","00300",0,1,1,"  ",0
"2722706","00100",12,0,3,"02",70600
"2722768","00701",12,0,3,"01",74000
"2723002","00400",31,0,3,"02",51700
"2723194","01303",21,0,1,"02",17300
"2723331","00900",19,0,1,"06",8200
"2723389","01311",21,0,2,"02",89400
"2723727","00800",21,0,1,"02",7710
"2724047","00200",15,0,2,"02",23000
"2724258","00500",18,0,1,"02",111400
"2724308","00400",0,1,1,"  ",0
"2724529","00900",6,0,3,"02",68640
"2724655","00701",24,0,2,"02",105200
"2724661","00100",10,0,0,"02",0
"2724845","00701",30,0,3,"02",35000
"2724903","00900",43,0,3,"01",65000
"2724922","00400",31,0,4,"05",15000
"2724973","00300",0,2,1,"  ",0
"2725018","01200",15,0,2,"02",45280
"2725030","00500",21,0,2,"02",42000
"2725102","01313",24,0,2,"02",155500
"2725151","00701",21,0,2,"02",64000
"2725184","00500",6,0,1,"02",19000
"2725244","01309",30,0,4,"09",28300
"2725340","00500",9,0,4,"02",57000
"2725518","00600",22,0,2,"03",22800
"2725549","01303",15,0,2,"02",39300
"2725613","00300",6,0,2,"02",12200
"2725660","01102",28,0,3,"02",64000
"2725709","01311",21,0,1,"02",39350
"2725784","00900",22,0,2,"02",26700
"2726373","00400",28,0,1,"01",30600
"2726759","01310",21,0,4,"02",101000
"2726830","00800",6,0,3,"02",32600
"2727048","00600",30,0,1,"09",17700
"2727560","00200",24,0,4,"01",36000
"2727609","01200",27,0,1,"02",65000
"2727707","00600",27,0,2,"01",125600
"2727790","01309",22,0,2,"02",110000
"2727799","01313",0,1,1,"  ",0
"2727833","01102",24,0,2,"02",11000
"2728084","00900",24,0,2,"02",63300
"2728202","00600",21,0,2,"02",57400
"2728368","00200",6,0,0,"02",0
"2728378","00702",24,0,2,"02",120030
"2728454","00400",18,0,5,"02",49000
"2728550","00200",6,0,4,"02",35700
"2728772","01313",18,0,1,"08",65000
"2728794","00500",6,0,1,"02",37500
"2728870","01309",22,0,1,"02",11800
"2729531","01313",21,0,2,"02",160100
"2729561","00600",18,0,1,"08",6400
"2729658","00702",22,0,1,"01",13300
"2729713","00800",27,0,4,"02",75630
"2729817","00500",19,0,1,"02",0
"2729955","00701",27,0,4,"02",68000
"2730000","00200",7,0,5,"02",73000
"2730076","01301",15,0,3,"02",37700
"2730108","01303",21,0,1,"02",6400
"2730130","01307",21,0,2,"02",58400
"2730133","01307",31,0,2,"02",165000
"2730214","00900",3,0,0,"02",0
"2730372","01312",21,0,2,"06",59280
"2730473","01101",24,0,1,"07",0
"2730548","00100",23,0,0,"02",0
"2730607","00701",30,0,5,"02",214000
"2730616","00100",14,0,0,"02",0
"2730841","01303",19,0,2,"02",52500
"2730892","00100",6,0,3,"02",54030
"2731056","01312",21,0,4,"02",3300
"2731239","00500",16,0,0,"02",0
"2731251","01307",18,0,2,"02",95200
"2731430","01000",24,0,5,"02",78200
"2731479","00500",21,0,2,"02",66000
"2731518","00200",13,0,6,"02",73450
"2731537","01308",25,0,3,"02",31500
"2731735","01302",25,0,4,"02",53000
"2731938","00300",18,0,4,"01",37000
"2731960","00900",13,0,3,"02",98670
"2732085","00100",3,0,2,"01",124600
"2732261","01313",18,0,4,"02",75600
"2732271","00702",15,0,5,"02",92800
"2732596","00900",21,0,2,"02",82000
"2732674","00100",6,0,1,"01",12900
"2732688","01308",25,0,2,"02",73600
"2732774","00300",6,0,0,"10",0
"2733000","01309",36,0,3,"02",65810
"2733026","00701",28,0,1,"02",16300
"2733031","01302",18,0,4,"02",41000
"2733133","00600",25,0,2,"02",15960
"2733202","00600",16,0,2,"01",14000
"2733261","01309",21,0,4,"02",63570
"2733265","00900",9,0,2,"01",30000
"2733372","01303",21,0,1,"02",12900
"2733390","01313",25,0,4,"02",86000
"2733529","01200",21,0,5,"02",70000
"2733688","01304",21,0,1,"09",60000
"2733705","01302",17,0,0,"02",0
"2733710","00500",6,0,0,"02",0
"2733748","00800",7,0,2,"02",29000
"2733928","00200",6,0,1,"02",30300
"2733957","01309",24,0,2,"09",91500
"2734232","01307",22,0,4,"02",303800
"2734331","01311",21,0,4,"08",46150
"2734448","01309",24,0,4,"02",83900
"2734703","01000",21,0,2,"02",266500
"2734896","01313",21,0,1,"07",35200
"2734908","01102",6,0,1,"04",6800
"2735107","00702",21,0,1,"02",0
"2735300","01102",15,0,2,"01",8700
"2735325","01102",28,0,2,"02",36100
"2735402","01000",19,0,2,"01",10800
"2735435","01200",7,0,0,"03",0
"2735639","01311",22,0,2,"02",63300
"2735640","00702",25,0,5,"02",65260
"2735695","00900",18,0,2,"02",25400
"2735715","01200",30,0,2,"02",90000
"2735800","00702",27,0,1,"08",11200
"2735853","00500",27,0,0,"05",0
"2735946","01102",0,2,1,"  ",0
"2736041","01302",22,0,5,"02",94520
"2736166","01303",19,0,1,"08",10300
"2736204","01306",0,1,1,"  ",0
"2736318","00500",21,0,2,"02",107200
"2736397","00500",46,0,0,"07",0
"2736481","00600",18,0,2,"02",40100
"2736540","00800",18,0,1,"02",20600
"2736619","00500",19,0,2,"02",26300
"2737230","00600",0,2,1,"  ",0
"2737575","00701",27,0,2,"02",55700
"2737685","01306",27,0,2,"05",42214
"2737735","01309",27,0,4,"02",78000
"2737782","00300",6,0,2,"02",258700
"2737865","01306",27,0,2,"02",71000
"2737873","01102",24,0,2,"02",27700
"2737901","01310",22,0,2,"06",33000
"2737936","00900",24,0,2,"02",175630
"2738012","01200",22,0,2,"02",130200
"2738079","01312",28,0,1,"05",66000
"2738222","01310",27,0,4,"02",124000
"2738486","01301",73,0,0,"02",0
"2738563","00100",18,0,1,"06",9600
"2738674","01313",21,0,5,"02",291010
"2738675","00800",9,0,1,"01",16000
"2738760","01102",6,0,2,"03",42500
"2738799","00500",21,0,2,"05",49000
"2738832","00200",6,0,2,"01",55240
"2739466","01309",24,0,2,"02",14430
"2739542","00600",27,0,3,"02",52300
"2739617","01311",25,0,4,"03",30200
"2739643","00200",7,0,2,"02",20020
"2739779","00900",0,2,1,"  ",0
"2739997","01312",14,0,0,"02",0
"2740278","01000",24,0,3,"04",24200
"2740285","01303",28,0,2,"07",46030
"2740312","01200",9,0,2,"02",9000
"2740605","01310",28,0,4,"02",136000
"2740961","01303",27,0,1,"08",12500
"2740964","01308",30,0,4,"02",74500
"2740998","00600",27,0,2,"02",177000
"2741075","00100",33,0,4,"02",36500
"2741287","00500",6,0,0,"02",0
"2741393","01312",30,0,3,"02",61000
"2741493","01310",31,0,2,"02",34600
"2741570","01303",22,0,3,"08",28000
"2741571","00200",21,0,1,"01",0
"2741576","01308",28,0,1,"02",29500
"2741973","00702",18,0,1,"09",32200
"2742094","00600",6,0,2,"01",24000
"2742253","00500",6,0,2,"06",32000
"2742266","01304",16,0,1,"04",6600
"2742464","01304",15,0,6,"02",38880
"2742466","01301",18,0,1,"02",42000
"2742564","00702",30,0,2,"04",23000
"2742581","01102",21,0,5,"02",61100
"2742608","00300",15,0,2,"04",11250
"2742668","01309",22,0,2,"02",98700
"2742729","01000",28,0,2,"02",28200
"2742788","01000",22,0,2,"02",6000
"2742836","00100",6,0,2,"01",141000
"2743786","00702",25,0,4,"02",64000
"2743926","00900",9,0,1,"01",16500
"2743974","01101",18,0,2,"07",33000
"2744034","01307",18,0,1,"02",37800
"2744083","00800",6,0,1,"02",4900
"2744119","00500",27,0,3,"02",23000
"2744278","01305",22,0,1,"06",37000
"2744420","00400",24,0,4,"08",7250
"2744483","00500",9,0,3,"02",16400
"2744966","00200",26,0,0,"02",0
"2745187","01301",13,0,2,"02",62000
"2745587","01311",0,1,1,"  ",0
"2745909","00701",3,0,0,"02",0
"2746058","00200",6,0,3,"02",29900
"2746172","01310",28,0,2,"06",22000
"2746226","01310",31,0,1,"10",12500
"2746231","00701",21,0,2,"02",299000
"2746233","00702",12,0,1,"02",87000
"2746358","00600",6,0,2,"02",55000
"2746417","01101",27,0,4,"02",69000
"2746441","01200",25,0,1,"02",56100
"2746445","00600",28,0,1,"04",8400
"2746537","01305",25,0,2,"02",99000
"2746770","01312",25,0,1,"02",31440
"2746901","00800",30,0,1,"08",8000
"2747038","00200",6,0,2,"02",30000
"2747194","01311",24,0,2,"01",32300
"2747335","01311",24,0,2,"02",75000
"2747361","01101",21,0,2,"07",6800
"2747625","01200",23,0,0,"02",0
"2747763","01305",15,0,3,"06",8700
"2747806","01000",10,0,0,"01",0
"2747887","00200",6,0,2,"02",35890
"2748014","00500",16,0,1,"09",0
"2748023","01311",25,0,3,"09",76000
"2748126","00800",12,0,2,"02",136700
"2748162","00900",22,0,6,"02",34600
"2748243","01200",30,0,2,"02",24160
"2748305","01301",28,0,1,"02",17500
"2748319","01102",30,0,6,"02",46000
"2748325","01308",24,0,2,"02",15100
"2748336","01307",6,0,2,"02",58200
"2748373","01306",15,0,5,"02",93850
"2748414","01313",28,0,2,"02",165600
"2748823","01200",28,0,3,"04",28850
"2749079","00702",30,0,1,"02",39100
"2749124","00701",6,0,2,"01",89280
"2749987","00200",9,0,6,"02",72400
"2750043","01200",22,0,4,"02",71800
"2750125","01313",31,0,3,"02",62500
"2750392","01311",24,0,2,"01",22700
"2750412","01200",27,0,2,"02",48200
"2750985","00600",18,0,3,"07",66200
"2750993","00800",24,0,2,"02",35000
"2751252","00900",22,0,1,"05",0
"2751399","01000",24,0,1,"08",2200
"2751430","01312",31,0,3,"05",32000
"2751667","00800",6,0,4,"01",14000
"2751763","00400",0,1,1,"  ",0
"2751957","00702",15,0,1,"02",7500
"2752013","00800",27,0,1,"07",9600
"2752021","01305",28,0,2,"07",53000
"2752030","01311",28,0,1,"03",31000
"2752088","01307",22,0,5,"02",170050
"2752172","01307",36,0,4,"02",54800
"2752185","00702",22,0,2,"03",23700
"2752439","01313",24,0,2,"06",96000
"2752500","01304",22,0,2,"09",108000
"2752578","00600",10,0,0,"05",0
"2752607","01200",0,2,1,"  ",0
"2752820","01101",18,0,4,"02",67000
"2752969","00702",33,0,5,"02",18000
"2753114","01000",9,0,2,"02",45000
"2753267","01312",18,0,4,"02",55000
"2753285","01308",22,0,2,"02",158000
"2753313","00500",16,0,0,"02",0
"2753490","00500",6,0,4,"02",63700
"2753508","01101",30,0,2,"01",42800
"2753563","01308",27,0,3,"02",81000
"2753600","00702",15,0,1,"02",130000
"2753618","00702",27,0,4,"02",32500
"2753669","00200",6,0,5,"01",46000
"2753797","00800",0,1,1,"  ",0
"2753931","00400",27,0,5,"02",34000
"2753946","01102",6,0,3,"02",21000
"2753952","00500",15,0,2,"04",56000
"2754214","00702",24,0,2,"02",23400
"2754491","00900",0,2,1,"  ",0
"2754509","01000",19,0,2,"02",50200
"2754517","01311",15,0,3,"02",30400
"2754608","01200",24,0,2,"02",73900
"2754746","00100",0,1,1,"  ",0
"2754999","01304",19,0,1,"08",10000
"2755057","00600",6,0,4,"02",44900
"2755108","00900",7,0,2,"01",33500
"2755158","01301",18,0,3,"02",81000
"2755219","01102",9,0,1,"01",17000
"2755615","00800",18,0,2,"02",101000
"2755674","01200",6,0,6,"07",33200
"2756134","00800",21,0,1,"02",20700
"2756227","01305",15,0,3,"02",11000
"2756274","00200",3,0,2,"01",47600
"2756453","01311",18,0,2,"02",11400
"2756498","01304",27,0,1,"09",6680
"2756740","00702",31,0,6,"02",48100
"2756975","01302",28,0,4,"03",31900
"2757012","01101",21,0,4,"02",22100
