SERIALNO,AGE,WRKLYR,INCTOT
2693104,79,2,5000
2693400,50,1,38000
2693405,74,2,4400
2693417,54,1,39500
2693417,52,1,37400
2693417,22,1,4000
2693419,65,1,70000
2693419,63,1,6000
2693481,49,1,46000
2693481,45,1,68250
2693536,93,2,9000
2693601,74,2,11500
2693748,73,2,11000
2693891,60,1,42000
2693891,49,1,114000
2693891,20,2,0
2693902,41,1,1e+05
2693902,41,1,23000
2693902,15,0,0
2693902,10,0,NA
2694115,68,2,17100
2694115,62,2,12600
2694333,60,1,56100
2694333,58,1,22200
2694333,27,1,20000
2694544,84,2,10800
2694553,35,1,28000
2694553,32,1,2600
2694553,14,0,NA
2694553,12,0,NA
2694553,8,0,NA
2694553,4,0,NA
2694578,34,1,9200
2694578,30,1,9000
2694578,7,0,NA
2694789,83,2,35600
2695138,46,1,68000
2695138,57,1,68000
2695583,57,1,40000
2695583,54,1,40000
2695711,77,2,7600
2695761,39,1,11000
2695761,49,1,24000
2695761,16,1,580
2695761,18,1,16300
2695913,79,2,8800
2696102,37,1,144000
2696102,38,1,58000
2696102,8,0,NA
2696442,59,2,0
2696442,47,1,23000
2696887,30,1,2000
2696912,43,1,42000
2696912,16,2,9000
2696912,19,1,1000
2696912,21,1,18000
2697115,68,1,60800
2697115,27,1,36000
2697344,61,2,8000
2697471,41,1,43800
2697471,38,1,31800
2697471,12,0,NA
2697471,9,0,NA
2697528,54,1,28700
2697528,64,2,20800
2697588,39,1,28550
2697588,38,1,21350
2697588,17,2,0
2697588,12,0,NA
2697741,65,1,52100
2697741,62,2,0
2697802,57,2,181900
2697802,60,2,3300
2698240,52,1,30000
2698240,48,1,18900
2698240,24,1,500
2698250,38,1,18200
2698250,32,1,19700
2698408,68,2,0
2698757,36,1,4500
2698757,49,1,12000
2698824,32,1,22100
2698824,29,1,12200
2698824,9,0,NA
2698824,6,0,NA
2698824,4,0,NA
2699006,55,1,9000
2699022,46,1,29420
2699022,10,0,NA
2699027,54,1,2e+05
2699027,48,1,-5000
2699027,17,2,0
2699027,14,0,NA
2699047,68,1,21000
2699195,88,2,8700
2699563,53,1,46300
2699563,52,1,11300
2699680,51,2,5200
2699680,30,1,11600
2699680,12,0,NA
2699680,8,0,NA
2699737,32,1,47500
2699737,84,2,0
2700006,52,1,70000
2700006,51,1,22000
2700006,24,1,25870
2700006,1,0,NA
2700006,23,1,2000
2700076,40,1,14000
2700076,16,2,5000
2700076,14,0,NA
2700146,78,2,31800
2700146,78,2,5760
2700323,39,1,75020
2700323,35,1,46800
2700323,3,0,NA
2700323,1,0,NA
2700518,46,1,36800
2700518,44,1,16200
2700518,16,2,0
2700518,13,0,NA
2700710,29,1,20000
2700766,65,1,7580
2700766,58,2,10000
2700909,26,2,9200
2700909,7,0,NA
2700909,0,0,NA
2700909,23,1,9800
2701039,52,1,38000
2701048,74,2,23300
2701195,20,1,4500
2701195,25,1,25000
2701255,55,1,12400
2701255,46,1,12000
2701255,23,1,20000
2701428,26,1,25000
2701428,6,0,NA
2701641,60,1,58050
2701641,53,2,0
2701754,63,1,10300
2701754,63,1,30400
2701834,40,1,76000
2701834,28,1,13800
2701834,4,0,NA
2702392,37,1,33230
2702392,5,0,NA
2702581,76,2,11800
2702964,20,1,12800
2702964,19,1,10000
2702964,0,0,NA
2703246,93,2,24200
2703246,85,2,12640
2703246,42,1,13000
2703617,47,1,70000
2703617,45,1,11400
2703617,16,1,500
2703656,37,2,0
2703656,31,1,20900
2703656,12,0,NA
2703656,11,0,NA
2703656,8,0,NA
2703784,47,1,52000
2703963,35,1,15900
2703978,74,2,15300
2703978,73,2,12000
2704213,29,1,19000
2704213,31,1,19900
2704408,37,1,55400
2704408,36,1,13000
2704408,10,0,NA
2704408,9,0,NA
2704408,5,0,NA
2704546,75,2,60600
2704546,65,2,13100
2704629,18,1,1600
2704837,41,1,26500
2704837,41,1,4500
2704840,85,2,7800
2705013,31,2,0
2705196,49,1,40400
2705196,49,2,0
2705456,29,1,14000
2705456,42,2,0
2705456,14,0,NA
2705456,11,0,NA
2705456,10,0,NA
2705456,9,0,NA
2705456,6,0,NA
2705456,1,0,NA
2705604,38,1,27000
2705604,35,1,7560
2705604,2,0,NA
2705604,0,0,NA
2705808,44,1,52560
2705808,48,1,17600
2705808,16,1,5920
2705808,19,1,7100
2705954,43,1,43600
2705954,44,1,4400
2705954,23,1,100
2706206,23,1,16000
2706206,22,1,7400
2706206,2,0,NA
2706491,35,1,49000
2706491,35,1,36000
2706491,8,0,NA
2706491,4,0,NA
2706692,61,1,21900
2706771,31,1,75100
2706771,8,0,NA
2706895,18,1,8300
2706976,78,2,8100
2706976,71,2,23000
2706976,67,2,0
2707260,28,1,15000
2707260,36,2,0
2707308,53,1,42600
2707385,47,1,19400
2707385,40,2,0
2707385,22,2,0
2707385,18,2,0
2707385,18,2,0
2707385,3,0,NA
2707385,2,0,NA
2707385,1,0,NA
2707385,1,0,NA
2707582,38,1,78000
2707582,35,1,22000
2707582,2,0,NA
2707710,36,1,68300
2707710,55,2,0
2708290,36,1,28400
2708290,55,1,11400
2708290,30,1,16400
2708290,6,0,NA
2708333,45,1,37640
2708333,39,1,12000
2708333,20,1,28800
2708333,17,1,46000
2708423,56,2,0
2708423,61,2,0
2708681,38,1,13000
2708681,17,1,800
2708681,58,2,1300
2708887,40,1,21600
2708887,7,0,NA
2708887,40,1,20000
2709075,47,1,17000
2709075,50,1,26000
2709075,21,1,11000
2709115,28,1,20000
2709161,72,2,36200
2709161,67,2,7300
2709197,20,1,9600
2709216,52,2,1200
2709216,44,1,14400
2709216,16,2,4800
2709216,15,0,0
2709216,13,0,NA
2709234,78,2,18000
2709235,51,1,19870
2709241,63,2,38580
2709241,66,2,15700
2709361,19,1,2500
2709632,68,2,29700
2709632,64,1,35300
2709786,58,1,93300
2709786,54,2,80100
2709852,22,1,16600
2709852,2,0,NA
2709852,19,1,2300
2709988,47,2,20000
2710202,30,1,65000
2710202,30,2,0
2710202,1,0,NA
2710754,66,2,37000
2710835,76,2,25200
2710886,37,1,12000
2710886,63,2,13200
2710916,81,2,30000
2710916,58,2,0
2710938,61,1,4500
2710938,55,1,85000
2710980,75,2,32100
2710980,76,2,4300
2711232,59,1,86000
2711232,60,1,18800
2711266,84,2,34000
2711294,75,2,12000
2711294,72,2,0
2711348,57,1,20000
2711348,60,1,41000
2711521,78,2,39800
2712070,73,2,21100
2712070,68,2,23900
2712163,56,1,10000
2712179,31,1,30000
2712179,30,1,45000
2712179,4,0,NA
2712222,44,1,5000
2712222,14,0,NA
2712222,11,0,NA
2712222,44,2,5000
2712223,43,1,60000
2712223,34,1,60000
2712223,8,0,NA
2712223,13,0,NA
2712580,53,1,75060
2712580,45,1,21700
2712580,12,0,NA
2712580,77,2,3600
2712635,42,1,60000
2712916,40,1,48000
2712916,33,1,48000
2712995,26,1,28500
2712995,4,0,NA
2712995,2,0,NA
2713218,41,1,79180
2713218,37,2,0
2713218,10,0,NA
2713486,55,1,16000
2713486,16,1,3000
2713629,30,1,22000
2713629,27,2,0
2713629,4,0,NA
2713629,0,0,NA
2713961,59,1,48000
2713961,58,1,34100
2714592,43,1,40080
2714592,42,1,13200
2714592,18,1,11400
2714592,16,2,0
2714592,12,0,NA
2714595,47,2,0
2714595,47,1,21000
2714595,17,1,2000
2714632,42,1,80500
2714632,37,1,59100
2714632,4,0,NA
2714744,63,1,100
2714744,57,1,20000
2714845,28,1,12000
2714845,35,1,48000
2714845,8,0,NA
2714845,7,0,NA
2714845,5,0,NA
2714927,37,1,65100
2714927,32,1,11000
2714927,8,0,NA
2714927,5,0,NA
2715050,39,1,60300
2715050,9,0,NA
2715050,6,0,NA
2715154,86,2,40800
2715254,31,1,41000
2715254,22,1,10000
2715262,57,2,7300
2715262,27,1,12000
2715443,80,2,20500
2715595,44,1,40000
2715595,40,1,27000
2715595,17,1,1000
2715595,14,0,NA
2715595,10,0,NA
2715689,68,2,33200
2715775,38,1,85000
2715775,38,1,14000
2715775,9,0,NA
2715775,7,0,NA
2715839,30,1,23770
2715853,65,1,59500
2715853,63,2,9800
2715917,33,1,54000
2715917,44,1,9600
2715929,35,1,27000
2715929,8,0,NA
2716014,35,1,51000
2716014,34,1,10404
2716014,4,0,NA
2716104,45,1,76000
2716150,64,1,18800
2716150,62,1,38000
2716489,50,1,42000
2716489,49,1,9000
2716527,58,1,29260
2716527,58,1,22400
2716765,54,1,60000
2716765,53,1,10000
2716765,16,1,560
2716765,15,0,0
2717140,51,1,14000
2717140,26,1,13950
2717288,73,2,33400
2717288,83,2,6600
2717794,73,2,8000
2717836,28,1,22000
2717836,24,1,7600
2717836,6,0,NA
2717836,3,0,NA
2717918,38,1,37800
2717918,9,0,NA
2717918,8,0,NA
2717918,7,0,NA
2717977,27,1,25000
2717977,24,1,2500
2718041,27,1,49100
2718041,25,1,1700
2718041,1,0,NA
2718188,36,1,32000
2718188,32,1,11000
2718188,4,0,NA
2718270,69,2,18100
2718270,62,2,3100
2718349,64,2,18000
2718349,58,2,0
2718490,34,1,10800
2718527,23,1,17300
2718527,26,1,33700
2718527,7,0,NA
2718527,5,0,NA
2718527,4,0,NA
2718596,67,1,13000
2718665,76,2,9500
2718665,61,1,6500
2718802,36,1,2200
2718844,59,1,12000
2718844,58,2,12000
2718921,40,1,63020
2718921,39,2,8000
2718921,13,0,NA
2719126,75,2,15000
2719126,66,2,29400
2719215,32,1,58000
2719215,24,2,0
2719215,1,0,NA
2719346,26,1,27000
2719346,27,1,26000
2719346,2,0,NA
2719638,64,1,70000
2719638,50,2,0
2719638,31,1,8000
2719638,27,1,12700
2719638,16,2,0
2719758,47,1,6300
2719758,11,0,NA
2719758,7,0,NA
2719924,40,1,18200
2719924,14,0,NA
2719930,50,1,60000
2719930,47,1,5000
2719930,18,1,3100
2719930,14,0,NA
2720162,46,1,33000
2720404,45,1,84000
2720404,54,1,24900
2720521,69,2,33800
2720521,70,2,7500
2720770,45,1,51180
2720770,45,1,13000
2720922,23,1,3300
2720922,25,1,13000
2720922,22,1,800
2720955,46,1,60820
2720955,40,2,0
2720955,11,0,NA
2720955,9,0,NA
2720986,52,2,21000
2720986,49,1,23100
2720986,22,1,6800
2720986,17,2,0
2721012,57,1,16000
2721012,58,1,173200
2721012,22,2,2100
2721012,16,2,0
2721012,3,0,NA
2721092,74,2,7140
2721134,56,1,10200
2721134,68,2,6500
2721172,62,1,19600
2721249,38,1,18000
2721249,35,2,0
2721249,19,1,22000
2721249,13,0,NA
2721249,6,0,NA
2721249,4,0,NA
2721249,1,0,NA
2721309,39,1,25000
2721309,37,1,17400
2721309,11,0,NA
2721553,85,2,9000
2721842,73,2,9870
2722436,32,1,36000
2722436,29,1,5000
2722436,4,0,NA
2722436,3,0,NA
2722436,1,0,NA
2722436,21,1,3500
2722588,30,2,29000
2722706,52,1,23000
2722706,46,1,17000
2722706,24,1,30600
2722768,30,1,30000
2722768,23,2,30000
2722768,30,1,14000
2723002,41,1,20400
2723002,45,1,31300
2723002,17,2,0
2723194,70,2,17300
2723331,23,1,8200
2723389,51,1,35600
2723389,72,1,53800
2723727,64,1,7710
2724047,43,1,23000
2724047,13,0,NA
2724258,66,2,111400
2724308,39,2,0
2724529,41,1,47240
2724529,19,1,15400
2724529,16,1,6000
2724655,41,1,83000
2724655,36,1,22200
2724845,56,1,35000
2724845,56,2,0
2724845,11,0,NA
2724903,55,1,55000
2724903,55,2,0
2724903,24,1,10000
2724922,27,1,5000
2724922,9,0,NA
2724922,5,0,NA
2724922,26,1,10000
2724973,59,2,0
2725018,67,2,15900
2725018,62,2,29380
2725030,51,1,27000
2725030,51,1,15000
2725102,81,2,119200
2725102,77,1,36300
2725151,48,1,38000
2725151,49,1,26000
2725184,72,1,19000
2725244,40,1,25100
2725244,40,1,3200
2725244,12,0,NA
2725244,10,0,NA
2725340,47,1,32000
2725340,49,1,25000
2725340,15,0,0
2725340,14,0,NA
2725518,47,2,10800
2725518,21,1,12000
2725549,44,1,34000
2725549,35,2,5300
2725613,76,2,11000
2725613,63,2,1200
2725660,51,1,20000
2725660,59,1,20000
2725660,20,1,24000
2725709,60,2,39350
2725784,65,1,17900
2725784,82,2,8800
2726373,44,1,30600
2726759,34,1,101000
2726759,35,2,0
2726759,1,0,NA
2726759,0,0,NA
2726830,25,1,32600
2726830,21,2,0
2726830,0,0,NA
2727048,86,2,17700
2727560,31,1,18000
2727560,31,1,18000
2727560,7,0,NA
2727560,2,0,NA
2727609,43,1,65000
2727707,81,2,100600
2727707,46,1,25000
2727790,58,1,110000
2727790,57,2,0
2727799,80,2,6170
2727833,81,2,0
2727833,27,1,11000
2728084,71,2,38100
2728084,66,2,25200
2728202,68,1,20000
2728202,70,1,37400
2728378,40,1,65030
2728378,42,1,55000
2728454,40,1,18000
2728454,21,1,5000
2728454,18,1,26000
2728454,9,0,NA
2728454,3,0,NA
2728550,36,1,35700
2728550,27,2,0
2728550,4,0,NA
2728550,0,0,NA
2728772,33,1,65000
2728794,69,2,37500
2728870,38,1,11800
2729531,49,1,158800
2729531,49,2,1300
2729561,57,2,6400
2729658,63,1,13300
2729713,54,1,35800
2729713,54,1,39830
2729713,17,2,0
2729713,17,2,0
2729817,53,2,0
2729955,35,1,65000
2729955,35,1,3000
2729955,11,0,NA
2729955,0,0,NA
2730000,43,1,36000
2730000,38,1,37000
2730000,8,0,NA
2730000,5,0,NA
2730000,2,0,NA
2730076,69,2,16800
2730076,65,2,12000
2730076,38,1,8900
2730108,75,2,6400
2730130,45,1,53000
2730130,43,1,5400
2730133,53,2,130000
2730133,53,1,35000
2730372,64,1,26280
2730372,56,1,33000
2730473,41,2,0
2730607,42,1,100500
2730607,39,1,83500
2730607,17,1,30000
2730607,9,0,NA
2730607,5,0,NA
2730841,31,1,38000
2730841,39,2,14500
2730892,51,1,52000
2730892,48,1,1400
2730892,17,2,630
2731056,35,1,3300
2731056,13,0,NA
2731056,13,0,NA
2731056,8,0,NA
2731251,66,1,45600
2731251,60,1,49600
2731430,28,1,31000
2731430,25,1,10000
2731430,21,1,3200
2731430,24,1,34000
2731430,2,0,NA
2731479,52,1,66000
2731479,48,2,0
2731518,44,1,60750
2731518,41,1,12700
2731518,16,2,0
2731518,16,2,0
2731518,5,0,NA
2731518,3,0,NA
2731537,74,2,7200
2731537,75,2,6400
2731537,21,1,17900
2731735,32,1,53000
2731735,29,2,0
2731735,4,0,NA
2731735,2,0,NA
2731938,30,1,27000
2731938,26,1,10000
2731938,9,0,NA
2731938,8,0,NA
2731960,83,2,14470
2731960,67,1,20200
2731960,68,2,64000
2732085,36,1,124600
2732085,9,0,NA
2732261,38,1,65000
2732261,37,1,10600
2732261,4,0,NA
2732261,2,0,NA
2732271,45,1,32800
2732271,45,1,60000
2732271,15,0,0
2732271,13,0,NA
2732271,10,0,NA
2732596,49,1,42000
2732596,50,1,40000
2732674,44,1,12900
2732688,52,1,43000
2732688,48,1,30600
2733000,45,1,24610
2733000,47,1,31600
2733000,19,1,9600
2733026,72,2,16300
2733031,40,1,35000
2733031,25,1,6000
2733031,3,0,NA
2733031,1,0,NA
2733133,77,2,10500
2733133,71,2,5460
2733202,47,2,5000
2733202,43,1,9000
2733261,40,1,21500
2733261,35,1,42070
2733261,4,0,NA
2733261,0,0,NA
2733265,54,1,30000
2733265,54,2,0
2733372,34,1,12900
2733390,40,1,86000
2733390,41,2,0
2733390,9,0,NA
2733390,6,0,NA
2733529,33,1,38000
2733529,34,1,32000
2733529,8,0,NA
2733529,5,0,NA
2733529,2,0,NA
2733688,85,2,60000
2733748,61,2,23000
2733748,44,2,6000
2733928,36,1,30300
2733957,30,1,54500
2733957,29,1,37000
2734232,48,1,303800
2734232,43,2,0
2734232,24,2,0
2734232,16,2,0
2734331,36,2,0
2734331,34,1,46150
2734331,7,0,NA
2734331,5,0,NA
2734448,57,1,83500
2734448,39,1,400
2734448,13,0,NA
2734448,11,0,NA
2734703,45,1,236500
2734703,47,1,30000
2734896,25,1,35200
2734908,71,2,6800
2735107,64,2,0
2735300,28,1,8700
2735300,5,0,NA
2735325,72,2,23800
2735325,71,2,12300
2735402,71,2,10800
2735402,59,2,0
2735639,43,1,32300
2735639,47,1,31000
2735640,60,1,64060
2735640,48,2,0
2735640,18,1,1200
2735640,13,0,NA
2735640,8,0,NA
2735695,68,2,10800
2735695,65,2,14600
2735715,50,1,52000
2735715,54,1,38000
2735800,85,2,11200
2735946,31,1,5000
2736041,34,1,14000
2736041,55,2,10000
2736041,51,1,31100
2736041,37,2,4820
2736041,36,1,34600
2736166,29,1,10300
2736204,39,1,700
2736318,64,1,99600
2736318,54,2,7600
2736481,52,1,31300
2736481,48,1,8800
2736540,72,2,20600
2736619,67,2,19100
2736619,64,2,7200
2737230,19,1,5000
2737575,53,1,34700
2737575,51,1,21000
2737685,65,1,42210
2737685,44,2,4
2737735,40,1,66000
2737735,34,1,12000
2737735,15,0,0
2737735,5,0,NA
2737782,48,1,222700
2737782,50,1,36000
2737865,46,1,54800
2737865,51,1,16200
2737873,78,2,20800
2737873,78,2,6900
2737901,24,1,33000
2737901,25,2,0
2737936,74,2,141600
2737936,77,2,34030
2738012,52,1,92200
2738012,52,1,38000
2738079,50,1,66000
2738222,48,1,122000
2738222,35,2,2000
2738222,2,0,NA
2738222,0,0,NA
2738563,50,1,9600
2738674,47,1,291000
2738674,18,2,10
2738674,16,2,0
2738674,14,0,NA
2738674,13,0,NA
2738675,47,1,16000
2738760,55,1,40000
2738760,49,1,2500
2738799,59,1,49000
2738799,61,2,0
2738832,66,1,47100
2738832,74,1,8140
2739466,22,1,13500
2739466,20,1,930
2739542,41,1,52300
2739542,10,0,NA
2739542,9,0,NA
2739617,27,1,19200
2739617,6,0,NA
2739617,3,0,NA
2739617,26,1,11000
2739643,65,2,11300
2739643,61,1,8720
2739779,78,2,12700
2740278,33,1,24200
2740278,7,0,NA
2740278,6,0,NA
2740285,31,1,46030
2740285,23,2,0
2740312,21,1,2400
2740312,21,1,6600
2740605,56,1,130000
2740605,48,2,0
2740605,20,1,6000
2740605,14,0,NA
2740961,76,2,12500
2740964,43,1,49000
2740964,42,1,18000
2740964,19,1,6500
2740964,16,1,1000
2740998,69,2,140700
2740998,69,2,36300
2741075,27,1,33000
2741075,25,1,3500
2741075,4,0,NA
2741075,4,0,NA
2741393,51,1,42000
2741393,36,2,0
2741393,21,1,19000
2741493,61,1,27000
2741493,54,1,7600
2741570,48,1,27000
2741570,18,2,1000
2741570,79,2,0
2741571,21,2,0
2741576,48,1,29500
2741973,93,2,32200
2742094,69,2,22800
2742094,72,2,1200
2742253,17,1,17000
2742253,20,1,15000
2742266,45,2,6600
2742464,53,1,38760
2742464,50,1,120
2742464,13,0,NA
2742464,10,0,NA
2742464,27,2,0
2742464,21,2,0
2742466,48,1,42000
2742564,22,1,15000
2742564,20,1,8000
2742581,52,1,18000
2742581,29,1,15500
2742581,24,1,6000
2742581,67,2,9600
2742581,54,1,12000
2742608,38,2,11250
2742608,13,0,NA
2742668,60,1,66300
2742668,55,1,32400
2742729,85,2,22800
2742729,81,2,5400
2742788,27,1,6000
2742788,28,2,0
2742836,71,2,137700
2742836,65,2,3300
2743786,38,1,43000
2743786,4,0,NA
2743786,1,0,NA
2743786,29,1,21000
2743926,84,2,16500
2743974,79,2,31400
2743974,44,2,1600
2744034,70,1,37800
2744083,74,2,4900
2744119,45,1,23000
2744119,15,0,0
2744119,13,0,NA
2744278,25,1,37000
2744420,32,1,7250
2744420,1,0,NA
2744420,32,2,0
2744420,25,2,0
2744483,19,2,4300
2744483,1,0,NA
2744483,24,1,12100
2745187,44,1,40000
2745187,50,1,22000
2745587,77,2,0
2746058,47,1,24000
2746058,46,1,1100
2746058,17,1,4800
2746172,20,1,14000
2746172,21,1,8000
2746226,70,2,12500
2746231,48,1,299000
2746231,47,2,0
2746233,51,1,87000
2746358,45,1,43000
2746358,45,1,12000
2746417,48,1,52000
2746417,47,1,15000
2746417,18,1,2000
2746417,11,0,NA
2746441,50,1,56100
2746445,69,2,8400
2746537,26,1,34000
2746537,26,1,65000
2746770,53,1,31440
2746901,79,2,8000
2747038,44,1,30000
2747038,43,2,0
2747194,64,1,31000
2747194,55,1,1300
2747335,58,1,75000
2747335,54,2,0
2747361,19,2,6000
2747361,20,1,800
2747763,41,1,5400
2747763,42,1,2100
2747763,18,1,1200
2747887,74,1,13990
2747887,76,1,21900
2748014,69,2,0
2748023,33,1,76000
2748023,31,2,0
2748023,1,0,NA
2748126,73,2,136700
2748126,60,2,0
2748162,35,1,14300
2748162,34,1,20300
2748162,12,0,NA
2748162,9,0,NA
2748162,8,0,NA
2748162,3,0,NA
2748243,22,1,22300
2748243,20,1,1860
2748305,84,2,17500
2748319,43,1,10000
2748319,30,1,15000
2748319,2,0,NA
2748319,45,1,12000
2748319,66,1,6000
2748319,21,1,3000
2748325,66,2,10000
2748325,45,1,5100
2748336,77,1,49800
2748336,71,2,8400
2748373,51,1,44400
2748373,23,1,16000
2748373,17,1,450
2748373,28,1,33000
2748373,1,0,NA
2748414,55,1,140000
2748414,55,1,25600
2748823,75,2,10700
2748823,23,1,11050
2748823,16,2,7100
2749079,65,2,39100
2749124,74,2,36400
2749124,63,1,52880
2749987,45,2,18800
2749987,44,1,22800
2749987,24,1,800
2749987,1,0,NA
2749987,24,1,30000
2749987,3,0,NA
2750043,45,1,45300
2750043,47,1,20000
2750043,18,1,4300
2750043,16,1,2200
2750125,49,1,50000
2750125,52,1,12000
2750125,16,1,500
2750392,62,2,0
2750392,57,1,22700
2750412,53,1,42200
2750412,52,2,6000
2750985,19,1,30200
2750985,0,0,NA
2750985,22,1,36000
2750993,76,2,35000
2750993,74,2,0
2751252,21,2,0
2751399,58,1,2200
2751430,34,1,32000
2751430,14,0,NA
2751430,11,0,NA
2751667,36,1,14000
2751667,15,0,0
2751667,14,0,NA
2751667,7,0,NA
2751763,93,2,0
2751957,75,2,7500
2752013,57,2,9600
2752021,41,1,40000
2752021,26,1,13000
2752030,47,1,31000
2752088,43,1,158500
2752088,43,1,600
2752088,20,1,6500
2752088,17,1,4200
2752088,16,1,250
2752172,84,2,26100
2752172,74,2,12600
2752172,32,1,9500
2752172,71,1,6600
2752185,38,1,23700
2752185,15,0,0
2752439,26,1,42000
2752439,27,1,54000
2752500,41,1,101000
2752500,37,1,7000
2752607,18,1,5000
2752820,42,1,67000
2752820,39,2,0
2752820,13,0,NA
2752820,9,0,NA
2752969,32,1,20000
2752969,31,1,-2000
2752969,5,0,NA
2752969,14,0,NA
2752969,10,0,NA
2753114,83,1,28100
2753114,72,2,16900
2753267,45,1,44000
2753267,41,2,0
2753267,22,1,6000
2753267,18,2,5000
2753285,51,1,48000
2753285,50,1,110000
2753490,52,1,17200
2753490,50,1,41000
2753490,19,2,5500
2753490,12,0,NA
2753508,73,2,16400
2753508,72,2,26400
2753563,38,1,50000
2753563,11,0,NA
2753563,34,1,31000
2753600,45,1,130000
2753618,45,1,31000
2753618,14,0,NA
2753618,8,0,NA
2753618,42,1,1500
2753669,33,1,24000
2753669,7,0,NA
2753669,5,0,NA
2753669,3,0,NA
2753669,52,1,22000
2753797,69,2,27200
2753931,49,1,34000
2753931,47,2,0
2753931,12,0,NA
2753931,10,0,NA
2753931,8,0,NA
2753946,54,2,0
2753946,53,1,19000
2753946,32,1,2000
2753952,38,1,29000
2753952,26,1,27000
2754214,66,2,23400
2754214,57,2,0
2754491,20,1,4200
2754509,67,2,28200
2754509,53,1,22000
2754517,56,1,11000
2754517,33,1,10900
2754517,84,2,8500
2754608,57,1,46000
2754608,57,1,27900
2754746,34,1,15000
2754999,66,1,10000
2755057,37,1,21200
2755057,36,1,23700
2755057,18,2,0
2755057,15,0,0
2755108,51,2,25600
2755108,15,0,7900
2755158,39,1,21000
2755158,39,1,60000
2755158,0,0,NA
2755219,59,2,17000
2755615,47,1,51000
2755615,54,1,50000
2755674,29,1,15000
2755674,28,1,13800
2755674,8,0,NA
2755674,4,0,NA
2755674,3,0,NA
2755674,28,1,4400
2756134,79,2,20700
2756227,55,2,0
2756227,50,2,0
2756227,33,1,11000
2756274,52,1,47600
2756274,14,0,NA
2756453,75,2,2400
2756453,75,1,9000
2756498,69,2,6680
2756740,56,1,16000
2756740,33,1,3600
2756740,16,1,11000
2756740,12,0,NA
2756740,1,0,NA
2756740,36,1,17500
2756975,23,2,7900
2756975,28,1,24000
2756975,6,0,NA
2756975,1,0,NA
2757012,27,1,2000
2757012,28,1,20100
2757012,2,0,NA
2757012,0,0,NA
2757023,48,1,24600
2757086,46,1,50000
2757086,46,1,17600
2757086,6,0,NA
2757356,48,1,8000
2757688,32,1,20000
2757688,23,2,0
2757688,8,0,NA
2757688,5,0,NA
2757688,3,0,NA
2757688,0,0,NA
2757736,35,1,45000
2757736,30,1,1100
2757736,5,0,NA
2757736,3,0,NA
2757917,46,1,213000
2757998,37,1,32600
2757998,29,1,1670
2757998,12,0,NA
2757998,11,0,NA
2758036,57,1,39700
2758036,50,1,37800
2758036,18,1,1300
2758205,63,1,24000
2758205,54,1,10000
2758475,39,1,53500
2758475,37,1,26000
2758475,14,0,NA
2758475,14,0,NA
2758537,38,1,37800
2758537,37,1,1500
2758537,3,0,NA
2758853,78,2,38200
2759120,33,1,27600
2759120,29,1,5000
2759120,9,0,NA
2759120,8,0,NA
2759120,3,0,NA
2759120,1,0,NA
2759253,40,2,0
2759253,37,1,3000
2759393,61,1,9020
2759721,60,2,3000
2759721,20,1,10700
2759845,26,1,41300
2759845,25,1,18000
2759845,5,0,NA
2760227,83,2,35000
2760426,93,2,3800
2760445,26,1,13700
2760445,9,0,NA
2760445,6,0,NA
2760445,4,0,NA
2760574,21,1,3500
2760574,24,1,24900
2760826,53,1,47430
2760826,20,1,6500
2760981,59,1,25000
2760981,56,1,15000
2760981,28,2,0
2761016,20,1,0
2761016,21,1,5000
2761016,20,1,5000
2761094,57,1,17400
2761094,57,1,24800
2761539,43,1,20700
2761539,37,1,29300
2761539,15,0,0
2761539,12,0,NA
2761539,10,0,NA
2761548,39,1,35600
2761548,35,1,10700
2761548,7,0,NA
2761548,4,0,NA
2761571,52,2,0
2761571,48,1,34200
2761633,57,1,18200
2761633,64,1,6400
2761670,30,1,24100
2761670,7,0,NA
2761670,5,0,NA
2761771,73,2,6200
2762202,68,2,7900
2762202,59,1,2900
2762202,20,2,6200
2762202,17,2,4600
2762221,55,1,75000
2762221,63,2,14800
2762235,45,1,34380
2762235,70,2,6400
2762272,30,1,96000
2762272,29,1,33700
2762332,75,1,13620
2762332,71,2,5800
2762482,38,1,20000
2762541,40,1,18000
2762541,50,1,27000
2762541,14,0,NA
2762541,67,2,15600
2762556,48,2,12000
2762633,46,1,45000
2762633,47,2,0
2762862,20,1,5500
2762995,82,2,9400
2763253,48,1,47600
2763253,12,0,NA
2763253,10,0,NA
2763253,25,1,28500
2763336,77,1,27700
2763336,68,2,4600
2763406,72,2,17200
2763882,58,1,28400
2764135,30,1,43030
2764135,24,1,9000
2764135,5,0,NA
2764157,73,1,44800
2764157,56,1,26800
2764157,28,2,6130
2764251,33,1,6000
2764251,28,1,15900
2764251,8,0,NA
2764251,5,0,NA
2764369,49,1,36400
2764462,37,1,12900
2764462,42,2,0
2764652,93,2,5600
2764655,53,1,148000
2764655,54,1,19800
2764735,41,1,22000
2764746,50,1,28400
2764746,47,1,52000
2764746,19,2,0
2764800,23,1,30000
2764800,22,1,6000
2764869,83,2,16400
2764935,66,2,38400
2764991,29,1,20000
2764991,28,1,24000
2765029,82,2,5600
2765058,30,1,39000
2765058,31,1,48000
2765385,46,1,68000
2765385,46,1,20400
2765385,11,0,NA
2765484,49,1,20000
2765484,47,2,6000
2765484,14,0,NA
2765484,14,0,NA
2765493,46,1,30800
