Geo,UzaProfileName
Albany,"Albany, OR"
Bend,"Bend, OR"
Corvallis,"Corvallis, OR"
Eugene,"Eugene, OR"
Grants Pass,"Grants Pass, OR"
Medford,"Medford, OR"
Portland,"Portland, OR"
Salem,"Salem, OR"
None,None
