Geo,Year,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
Albany,2010,90.38,NA,NA
Bend,2010,90.38,NA,NA
Corvallis,2010,90.38,NA,NA
Eugene,2010,90.38,NA,NA
Grants Pass,2010,90.38,NA,NA
Medford,2010,90.38,NA,NA
Portland,2010,90.38,NA,NA
Salem,2010,90.38,NA,NA
None,2010,NA,NA,NA
Albany,2040,72.3,NA,NA
Bend,2040,72.3,NA,NA
Corvallis,2040,72.3,NA,NA
Eugene,2040,72.3,NA,NA
Grants Pass,2040,72.3,NA,NA
Medford,2040,72.3,NA,NA
Portland,2040,72.3,NA,NA
Salem,2040,72.3,NA,NA
None,2040,NA,NA,NA
