Category,SmallSedan,MediumSedan,LargeSedan,SmallSUV,MediumSUV,Minivan,Pickup
Fuel,7.18,9.03,11.14,8.68,11.76,10.95,13.88
Maintenance/Repair/Tires,6.83,7.94,8.44,8.09,8.27,7.81,8.33
